productId	standardCode	standard
Acetatecalciumchloridegluconatemagnesiumpotassiumsodium	51192302	UNSPSC
Acetatecalciumchloridegluconatemagnesiumpotassiumsodiumsugar	51192303	UNSPSC
Acetazolamide	51141501	UNSPSC
Acetazolamide_sodium	51141587	UNSPSC
Acetic_acid	51471602	UNSPSC
Acetic_acid_alcohol_and_toluidine_blue_combination_reagents	41141701	UNSPSC
Acetic_acidaluminum_acetate	51102802	UNSPSC
Acetic_acidantipyrinebenzocaineglycerin	51242201	UNSPSC
Acetic_acidbenzalkonium_chloridechloroxylenolpramoxine	51102803	UNSPSC
Acetic_acidbenzalkonuim_chloridechloroxylenolglycerin	51102804	UNSPSC
Acetic_acidbenzethonium_chloridepropylene_glycol	51102805	UNSPSC
Acetic_acidbenzethoniumpropylene_glycol	51102806	UNSPSC
Acetic_aciddesonide	51102807	UNSPSC
Acetic_acidglycerinoxyquinolinericinoleic_acid	51172901	UNSPSC
Acetic_acidhydrocortisone	51102808	UNSPSC
Acetic_acidoxyquinoline	51172902	UNSPSC
Acetic_acidoxyquinolinericinoleic_acid	51172903	UNSPSC
Acetic_acidsalicylic_acid	51242002	UNSPSC
Acetic_anhydride	12361510	UNSPSC
Aceticbenzalkoniumchloroxylenolhydrocortisonepramoxine	51242202	UNSPSC
Aceticbenzalkoniumparachlorometoxylenolpramoxinepropylene	51102809	UNSPSC
Acetohexamide	51184001	UNSPSC
Acetohydroxamic_acid	51172332	UNSPSC
Acetone_or_alcohol_based_antiseptics	51473016	UNSPSC
Acetonealcohol	51473901	UNSPSC
Acetonealcoholbenzalkonium_chloridesalicylic_acid	51241402	UNSPSC
Acetonebasic_fuchsinboric_acidresorcinol	51303602	UNSPSC
Acetoneboric_acidresorcinol	51303603	UNSPSC
Acetoneisopropyl_alcoholpolysorbate_80	51241403	UNSPSC
Acetonitrile	12352148	UNSPSC
Acetophenazine	51332803	UNSPSC
Acetophenazine_dimaleate	51332834	UNSPSC
Acetophenazine_maleate	51332835	UNSPSC
Acetorphine	51372020	UNSPSC
Acetorphine_hydrochloride	51372021	UNSPSC
Acetosulfone_or_sulfadiasulfone	51287002	UNSPSC
Acetoxolone	51171927	UNSPSC
Acetrizoic_acid	51441901	UNSPSC
Acetylcarnitine	51191928	UNSPSC
Acetylcholine	51151519	UNSPSC
Acetylcholine_chloride	51151535	UNSPSC
Acetylcysteine	51162701	UNSPSC
Acetyldigitoxin	51121912	UNSPSC
Acetyldigoxin	51124401	UNSPSC
Acetyldihydrocodeine	51372101	UNSPSC
Acetyldihydrocodeine_hydrochloride	51372111	UNSPSC
Acetylene	15111506	UNSPSC
Acetylene_glycol	12352321	UNSPSC
Acetylene_or_derivatives_production_services	73101605	UNSPSC
Acetylglycinamide_chloral_hydrate	51361506	UNSPSC
Acetylleucine	51171856	UNSPSC
Acetylmethadol_hydrochloride	51371908	UNSPSC
Acetylmethadol_or_methadyl_acetate	51371901	UNSPSC
Acetylsalicylic_acid_or_Aspirin	51143103	UNSPSC
Acetylsalicylic_acidClopidogrel_bisulfate	51131665	UNSPSC
Acetylsalicylic_acidramiprilsimvastatin	51434964	UNSPSC
Acexamic_acid	51386201	UNSPSC
Achievement_certificate	49101707	UNSPSC
Achiote_seeds_or_seedlings	10151814	UNSPSC
Achira_seed_or_seedlings	10151918	UNSPSC
Aciclovir_or_acyclovir	51342309	UNSPSC
Aciclovir_sodium	51342311	UNSPSC
Acid_additives	12164102	UNSPSC
Acid_alcohol_and_decolorizing_fluid_reagents	41141702	UNSPSC
Acid_based_fluid_well_fracturing_services	71131001	UNSPSC
Acid_based_matrix_stimulation_services	71131101	UNSPSC
Acid_buffers	12161704	UNSPSC
Acid_catalysts	12161601	UNSPSC
Acid_corrosion_inhibitors	12164201	UNSPSC
Acid_dye	12171511	UNSPSC
Acid_etch_marking_machines	23153601	UNSPSC
Acid_free_glue_sticks	60105704	UNSPSC
Acid_free_tape	60105705	UNSPSC
Acid_free_tissue_papers	14121604	UNSPSC
Acid_halides_or_its_substitutes	12352307	UNSPSC
Acid_hoses	40142001	UNSPSC
Acid_nucleic_immobilized_on_glass_or_nylon_membranes	41105701	UNSPSC
Acid_or_alkali_resistant_castable	31371204	UNSPSC
Acid_or_base_analyzers	41113301	UNSPSC
Acid_phosphatase	41141602	UNSPSC
Acid_phosphatase_(total_or_prostatic)_test_system	41141908	UNSPSC
Acid_resistant_bricks	31371103	UNSPSC
Acid_sand_control_pumping_services	71122101	UNSPSC
Acid_waste_collection_or_disposal	76121902	UNSPSC
Acidic_polymer_breakers	12162401	UNSPSC
Acidizing_air_piping	20121005	UNSPSC
Acidizing_ball_injectors	20121006	UNSPSC
Acidizing_blending_units	20121001	UNSPSC
Acidizing_density_sensors	20121002	UNSPSC
Acidizing_drop_boxes	20121008	UNSPSC
Acidizing_flow_meters	20121009	UNSPSC
Acidizing_junction_boxes	20121010	UNSPSC
Acidizing_pressure_sensors	20121011	UNSPSC
Acidizing_process_piping	20121012	UNSPSC
Acidizing_pumping_units	20121003	UNSPSC
Acidizing_straight_joints	20121013	UNSPSC
Acidizing_swivels	20121014	UNSPSC
Acidizing_through_coiled_tubing_services	71121101	UNSPSC
Acidizing_treating_irons	20121015	UNSPSC
Acidizing_tree_savers	20121016	UNSPSC
Acidizing_units	20121004	UNSPSC
Acidophiluspectin	51172402	UNSPSC
Acifran	51322204	UNSPSC
Acinetobacter_calcoaceticusserological_reagents	41202001	UNSPSC
Acipimox	51322804	UNSPSC
Acitazanolast	51161528	UNSPSC
Acitazanolast_hydrate	51161565	UNSPSC
Acitretin	51191913	UNSPSC
Acivicin	51111621	UNSPSC
Ackeetrees_(Blighia_sapida)	10007132	GS1
Aclarubicin_hydrochloride	51281813	UNSPSC
Aclarubicin_or_aclacinomycin_A	51281802	UNSPSC
Aclatonium_napadisilate	51151520	UNSPSC
Acme_rutabaga_purees	50485701	UNSPSC
Acme_rutabagas	50405801	UNSPSC
AcneRosacea_Treatments	10000903	GS1
Acodazole	51111725	UNSPSC
Acolbifene	51111831	UNSPSC
Aconiazide	51285801	UNSPSC
Aconitum_napelus	51461504	UNSPSC
Acorn_squash	50406701	UNSPSC
Acorn_squash_purees	50486601	UNSPSC
Acotiamide	51171825	UNSPSC
Acoustic_box	45111725	UNSPSC
Acoustic_ceiling_tiles	30161601	UNSPSC
Acoustic_cement_bond_ratio_logging_services	71112121	UNSPSC
Acoustic_ear_muffs_or_defenders	46181902	UNSPSC
Acoustic_engineering	81101529	UNSPSC
Acoustic_generator	41115513	UNSPSC
Acoustic_holography_imaging_systems	42201727	UNSPSC
Acoustic_measurement_when_drilling_services	71121501	UNSPSC
Acoustic_microscopes	41111726	UNSPSC
Acoustic_reflex_decay_assessment	85901221	UNSPSC
Acoustic_reflex_decay_assessment_using_electroacoustic_immitance__acoustic_reflex_equipment	85901222	UNSPSC
Acoustic_reflex_decay_assessment_using_tympanometer	85901223	UNSPSC
Acoustic_reflex_patterns_assessment	85901227	UNSPSC
Acoustic_reflex_patterns_assessment_using_electroacoustic_immitance__acoustic_reflex_equipment	85901228	UNSPSC
Acoustic_reflex_patterns_assessment_using_tympanometer	85901229	UNSPSC
Acoustic_reflex_threshold_assessment	85901224	UNSPSC
Acoustic_reflex_threshold_assessment_using_electroacoustic_immitance__acoustic_reflex_equipment	85901225	UNSPSC
Acoustic_reflex_threshold_assessment_using_tympanometer	85901226	UNSPSC
Acoustic_screen_enclosure	31261705	UNSPSC
Acoustic_sensors	41111939	UNSPSC
Acoustic_telemetry_when_drilling_services	71121502	UNSPSC
Acoustic_testing_rooms	41115505	UNSPSC
Acoustic_tools	20121901	UNSPSC
Acoustic_waveform_processing_services	71151318	UNSPSC
Acoustical_and_ceiling_work_service	72152101	UNSPSC
Acoustical_insulation	30141601	UNSPSC
Acoustical_lag_screw	31161535	UNSPSC
Acoustical_tile_or_ceiling_cleaning_services	76111601	UNSPSC
Acoustics_or_noise_control	81141803	UNSPSC
Acoxatrine	51411801	UNSPSC
Acreozast	51161529	UNSPSC
Acridorex	51144001	UNSPSC
Acriflavine_or_acriflavinium	51471801	UNSPSC
Acriflavinium_chloride	51471811	UNSPSC
Acrisorcin	51301901	UNSPSC
Acrivastine	51313402	UNSPSC
Acrivastinepseudoephedrine	51314312	UNSPSC
Acrobats_services	82151602	UNSPSC
Acrocinonide	51422502	UNSPSC
Acrylate_or_methacrylate_intermediates	12352130	UNSPSC
Acrylic_airbrush_paint	60121212	UNSPSC
Acrylic_anerobic_adhesive	31201634	UNSPSC
Acrylic_conformal_coating	31201708	UNSPSC
Acrylic_craft_poms	60123301	UNSPSC
Acrylic_fiber_manufacturing_services	73141508	UNSPSC
Acrylic_fibers	11151504	UNSPSC
Acrylic_films	13111204	UNSPSC
Acrylic_paints	31211508	UNSPSC
Acrylic_panels_for_picture_frames	60121411	UNSPSC
Acrylic_resins	13111064	UNSPSC
Acrylic_sheets	60121137	UNSPSC
Acrylic_yarn	11151704	UNSPSC
Acrylonitrile	12352145	UNSPSC
Acrylonitrile_butadiene_NBR	13101701	UNSPSC
Acrylonitrile_butadiene_styrene_ABS	13102001	UNSPSC
Acrylonitrile_butadiene_styrene_ABS_alloys	13102002	UNSPSC
Acrylonitrile_butadiene_styrene_resin	13111004	UNSPSC
Acrylonitrile_styrene_acrylic_alloy_resin	13111006	UNSPSC
Acrylonitrile_Styrene_Acrylic_ASA	13102005	UNSPSC
Acrylonitrile_Styrene_Acrylic_ASA_alloys	13102006	UNSPSC
Acrylonitrile_styrene_acrylic_resin	13111005	UNSPSC
Acting_services	82151701	UNSPSC
Actinium_Ac	12141701	UNSPSC
Actinometer_calibrator	41114425	UNSPSC
Action_beet_purees	50482001	UNSPSC
Action_beets	50401901	UNSPSC
Action_Figure_Accessories	10006397	GS1
