id	type	code	parent	name	description	level	hierarchy
RawFurskins116131	ServiceSubclass	116131	11613	Raw furskins	This subclass comprises raw furskins.	3	Subclass
RawFurskins1161311	Service	1161311	116131	Raw furskins	Raw furskins.	4	Detail
RawWoolAnimalHair	ServiceSubclass	116132	11613	Raw wool and animal hair	This subclass comprises raw wool and raw animal hair.	3	Subclass
RawWool	Service	1161321	116132	Raw wool	Raw wool	4	Detail
RawAnimalHair	Service	1161322	116132	Raw animal hair	Raw animal hair	4	Detail
NaturalHoney	ServiceSubclass	116133	11613	Natural honey	This subclass comprises natural unprocessed (raw) honey made by bees	3	Subclass
NaturalHoney1161331	Service	1161331	116133	Natural honey	Natural unprocessed (raw) honey made by bees	4	Detail
PregnantMareUrine	ServiceSubclass	116134	11613	Pregnant mare urine	This subclass comprises pregnant mare urine.	3	Subclass
PregnantMareUrine1161341	Service	1161341	116134	Pregnant mare urine	Pregnant mare urine.	4	Detail
Fish	ServiceGroup	121		Fish	shellfish and other fishery products	1	Group
Fish12111	ServiceClass	12111	121	Fish	shellfish and other fishery products	2	Class
LiveFish	ServiceSubclass	121111	12111	Live fish		3	Subclass
LiveFish1211111	Service	1211111	121111	Live fish	Live fish.	4	Detail
LiveRoe	Service	1211112	121111	Live roe	Live roe.	4	Detail
LiveCrustaceans	Service	1211113	121111	Live crustaceans	Live crustaceans.	4	Detail
LiveShellfish	Service	1211114	121111	Live shellfish	Live shellfish.	4	Detail
Fish121112	ServiceSubclass	121112	12111	Fish (except live)	This subclass comprises whole fish fresh	3	Subclass
Fish1211121	Service	1211121	121112	Fish (except live)	Whole fish fresh	4	Detail
CrustaceansShellfish	ServiceSubclass	121113	12111	Crustaceans and shellfish (except live)	This subclass comprises fresh	3	Subclass
Crustaceans	Service	1211131	121113	Crustaceans (except live)	Fresh	4	Detail
Shellfish	Service	1211132	121113	Shellfish (except live)	Fresh	4	Detail
Seaweed	ServiceSubclass	121114	12111	Seaweed		3	Subclass
Seaweed1211141	Service	1211141	121114	Seaweed	Seaweed.	4	Detail
IrishMoss	Service	1211142	121114	Irish moss	Irish moss.	4	Detail
OtherAlgae	Service	1211143	121114	Other algae	Other algae.	4	Detail
Logs	ServiceGroup	131		Logs		1	Group
LogsBolts	ServiceClass	13111	131	Logs and bolts	This class comprises wood logs and bolts.	2	Class
HardwoodLogsBolts	ServiceSubclass	131111	13111	Hardwood logs and bolts (except fuel wood and pulpwood)	This subclass comprises hardwood logs and bolts	3	Subclass
HardwoodLogsBolts1311111	Service	1311111	131111	Hardwood logs and bolts (except fuel wood and pulpwood)	Hardwood logs and bolts	4	Detail
SoftwoodLogsBolts	ServiceSubclass	131112	13111	Softwood logs and bolts (except fuel wood and pulpwood)	This subclass comprises softwood logs and bolts	3	Subclass
LogsBoltsSpruce	Service	1311121	131112	Logs and bolts of spruce		4	Detail
LogsBoltsHemlockFir	Service	1311122	131112	Logs and bolts of hemlock fir (except fuel wood and pulpwood)	Logs and bolts of hemlock fir	4	Detail
LogsBoltsDouglasFirWesternLarch	Service	1311123	131112	Logs and bolts of Douglas fir and Western larch (except fuel wood and pulpwood)	Logs and bolts of Douglas fir and Western larch	4	Detail
LogsBoltsWesternRedCedar	Service	1311124	131112	Logs and bolts of Western red cedar (except fuel wood and pulpwood)	Logs and bolts of Western red cedar	4	Detail
OtherLogsBoltsSoftwood	Service	1311125	131112	Other logs and bolts of softwood (except fuel wood and pulpwood)	Other logs and bolts of softwood	4	Detail
Pulpwood	ServiceClass	13112	131	Pulpwood	This class comprises pulpwood.	2	Class
HardwoodPulpwood	ServiceSubclass	131121	13112	Hardwood pulpwood	This subclass comprises hardwood pulpwood.	3	Subclass
HardwoodPulpwood1311211	Service	1311211	131121	Hardwood pulpwood	Hardwood pulpwood.	4	Detail
SoftwoodPulpwood	ServiceSubclass	131122	13112	Softwood pulpwood	This subclass comprises softwood pulpwood.	3	Subclass
SoftwoodPulpwood1311221	Service	1311221	131122	Softwood pulpwood	Softwood pulpwood.	4	Detail
RoughUntreatedPoles	ServiceClass	13113	131	Rough untreated poles		2	Class
RoughUntreatedPoles131131	ServiceSubclass	131131	13113	Rough untreated poles		3	Subclass
RoughUntreatedPoles1311311	Service	1311311	131131	Rough untreated poles		4	Detail
RoughUntreatedPoles1311312	Service	1311312	131131	Rough untreated poles		4	Detail
CrudeOilBitumen	ServiceGroup	141		Crude oil and bitumen	This group comprises conventional crude oil	1	Group
ConventionalCrudeOil	ServiceClass	14111	141	Conventional crude oil	This class comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.	2	Class
ConventionalCrudeOil141111	ServiceSubclass	141111	14111	Conventional crude oil	This subclass comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.	3	Subclass
LightMediumCrudeOil	Service	1411111	141111	Light and medium crude oil	Light and medium crude oil with a density equal to or less than 875.7 kg/m³ (30.1°API).	4	Detail
HeavyCrudeOil	Service	1411112	141111	Heavy crude oil	Heavy crude oil with a density greater than 875.7 kg/m³ (30.1°API).	4	Detail
CrudeDilutedBitumen	ServiceClass	14112	141	Crude and diluted bitumen	This class comprises crude bitumen and bitumen mixed with diluents.	2	Class
CrudeDilutedBitumen141121	ServiceSubclass	141121	14112	Crude and diluted bitumen	This subclass comprises crude bitumen and bitumen mixed with diluents.	3	Subclass
CrudeBitumen	Service	1411211	141121	Crude bitumen	Semi solid form of crude oil that does not flow unless it is heated or diluted with lighter hydrocarbons.	4	Detail
DilutedBitumen	Service	1411212	141121	Diluted bitumen	Crude bitumen that has been diluted so that it can be transported by pipeline.	4	Detail
SyntheticCrudeOil	ServiceClass	14113	141	Synthetic crude oil	This class comprises synthetic crude oil	2	Class
SyntheticCrudeOil141131	ServiceSubclass	141131	14113	Synthetic crude oil	This subclass comprises synthetic crude oil	3	Subclass
SyntheticCrudeOil1411311	Service	1411311	141131	Synthetic crude oil	Synthetic crude oil	4	Detail
NaturalGas	ServiceGroup	142		Natural gas	This group comprises natural gas	1	Group
NaturalGas14211	ServiceClass	14211	142	Natural gas	This class comprises natural gas	2	Class
NaturalGas142111	ServiceSubclass	142111	14211	Natural gas	This subclass comprises natural gas	3	Subclass
NaturalGas1421111	Service	1421111	142111	Natural gas	Natural gas	4	Detail
NaturalGasLiquidsRelatedProducts	ServiceGroup	143		Natural gas liquids (including condensate) and related products	This group comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane	1	Group
NaturalGasLiquidsRelatedProducts14311	ServiceClass	14311	143	Natural gas liquids (including condensate) and related products	This class comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane	2	Class
LiquefiedPetroleumGases	ServiceSubclass	143111	14311	Liquefied petroleum gases (LPGs)	This subclass comprises liquefied petroleum gases (LPGs) consisting primarily of propane and butane.	3	Subclass
PropanePropaneMixes	Service	1431111	143111	Propane and propane mixes	Normally straight-chain gaseous paraffinic (saturated) hydrocarbon or compound (C3H8) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -42° Celsius. Cover propane mixes.	4	Detail
ButaneButaneMixes	Service	1431112	143111	Butane and butane mixes	Normally straight-chain or branch-chain gaseous paraffinic hydrocarbon (C4H10) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -1° Celsius. Covers butane mixes.	4	Detail
NaturalGasLiquids	ServiceSubclass	143112	14311	Natural gas liquids (except LPGs)	This subclass comprises natural gas liquids	3	Subclass
Ethane	Service	1431121	143112	Ethane	Straight-chain gaseous paraffinic (saturated) hydrocarbon (C2H6) extracted predominantly from natural gas streams. It is a colourless gas that boils at a temperature of -88° Celsius.	4	Detail
LeaseCondensate	Service	1431122	143112	Lease condensate	Light liquid hydrocarbons recovered from lease separators or field facilities at associated and non-associated natural gas wells	4	Detail
PentanesPlus	Service	1431123	143112	Pentanes plus (including plant condensate)	Mixture of mainly pentanes and heavier hydrocarbons that ordinarily contains butanes. Pentanes plus (also known as natural gasoline) is obtained from the processing of raw gas	4	Detail
OtherNaturalGasLiquidsRelatedProducts	Service	1431124	143112	Other natural gas liquids (NGLs) and related products		4	Detail
Coal	ServiceGroup	144		Coal	This group comprises coal	1	Group
HardCoal	ServiceClass	14411	144	Hard coal	This class comprises black coal ranked as hard coal	2	Class
Anthracite	ServiceSubclass	144111	14411	Anthracite	This subclass comprises anthracite	3	Subclass
Anthracite1441111	Service	1441111	144111	Anthracite	High rank hard lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10% volatile matter and a high carbon content (about 90% fixed carbon). Its gross calorific value is equal to or greater than 24	4	Detail
BituminousCoal	ServiceSubclass	144112	14411	Bituminous coal	This subclass comprises coking or metallurgical coal and other bituminous coal. Bituminous coal is a medium rank coal used for gasification	3	Subclass
CokingCoal	Service	1441121	144112	Coking (metallurgical) coal	Bituminous coal with a quality that allows the production of a coke suitable to support a blast furnace charge. Its gross calorific value is equal to or greater than 24	4	Detail
OtherBituminousCoal	Service	1441122	144112	Other bituminous coal	Other bituminous coal mainly used for steam raising purposes. It is characterized by higher volatile matter than anthracite (more than 10%) and lower carbon content (less than 90% fixed carbon). Its gross calorific value is equal to or greater than 24	4	Detail
BrownCoal	ServiceClass	14412	144	Brown coal	This class comprises softer brown coal	2	Class
