serviceId	standard	standardCode
PermanentMagnetsPipeRecoveryServices	UNSPSC	71112015
WellPressureMeasurementControlServices	UNSPSC	71112017
ProductionLoggingBoreholeFluidMeasurementServices	UNSPSC	71112018
ProductionLoggingDensityMeasurementServices	UNSPSC	71112019
ProductionLoggingDownholeVideoServices	UNSPSC	71112020
ProductionLoggingFlowMeasurementServices	UNSPSC	71112021
ProductionLoggingPressureMeasurementServices	UNSPSC	71112022
OtherProductionLoggingServices	UNSPSC	71112023
ProductionLoggingTemperatureMeasurementServices	UNSPSC	71112024
SeveringCollidingServices	UNSPSC	71112025
WellLoggingAcousticServices	UNSPSC	71112026
StuckPointToolServices	UNSPSC	71112027
ThermalDecayWellLoggingServices	UNSPSC	71112028
WellTubularCorrosionEvaluationServices	UNSPSC	71112029
WellPerformanceServices	UNSPSC	71112030
WellTubularServices	UNSPSC	71112031
DigitalAcousticLoggingServices	UNSPSC	71112101
BoreholeGeometryLoggingServices	UNSPSC	71112102
DensityLithologyNuclearLoggingServices	UNSPSC	71112103
DipoleAcousticLoggingServices	UNSPSC	71112105
DirectionalLoggingServices	UNSPSC	71112106
DirectionalSurveyServices	UNSPSC	71112107
ElectromagneticPropagationLoggingServices	UNSPSC	71112108
FormationTestingSamplingServices	UNSPSC	71112109
FractureIdentificationLoggingServices	UNSPSC	71112110
GammaRayLoggingServices	UNSPSC	71112111
GammaRaySpectroscopyLoggingServices	UNSPSC	71112112
GeochemicalNuclearLoggingServices	UNSPSC	71112113
WellImagingServices	UNSPSC	71112114
MagneticResonanceLoggingServices	UNSPSC	71112115
MicroresistivityLoggingServices	UNSPSC	71112116
NeutronPorosityLoggingServices	UNSPSC	71112117
ResistivityLoggingServices	UNSPSC	71112119
SlimAccessAcousticLoggingServices	UNSPSC	71112120
AcousticCementBondRatioLoggingServices	UNSPSC	71112121
WellAcousticImagingServices	UNSPSC	71112122
FormationDipDirectionLoggingServices	UNSPSC	71112123
AngleLoggingServices	UNSPSC	71112123
ElectricWirelineOpenHoleServices	UNSPSC	71112124
ElectricWirelineOperationBase	UNSPSC	71112125
Logistics	UNSPSC	71112125
LoggingWhileDrillingServices	UNSPSC	71112202
LoggingDuringFishingServices	UNSPSC	71112203
LoggingWhilePerforatingServices	UNSPSC	71112204
DrillPipeConveyedWellServices	UNSPSC	71112205
GeneralWellLoggingServices	UNSPSC	71112206
2d	UNSPSC	71112301
3d	UNSPSC	71112301
4dLandSeismicAcquisitionServices	UNSPSC	71112301
2d	UNSPSC	71112302
3d	UNSPSC	71112302
4dMarineSeismicAcquisitionServices	UNSPSC	71112302
2d	UNSPSC	71112303
3d	UNSPSC	71112303
4dSeismicDataProcessingServices	UNSPSC	71112303
2d	UNSPSC	71112322
3d	UNSPSC	71112322
4dSeismicDataInterpretation	UNSPSC	71112322
WellVelocitySurveyServices	UNSPSC	71112323
OtherSeismicServices	UNSPSC	71112324
BoreholeSeismicLandAcquisitionServices	UNSPSC	71112325
BoreholeSeismicMarineAcquisitionServices	UNSPSC	71112326
