url	ns	type	id	name	description	code	sourceUrl
https://onet.org.ai/Occupation/Drafters,_All_Other	onet.org.ai	Occupation	Drafters,_All_Other	Drafters, All Other		17-3019.00	https://www.onetonline.org/link/summary/17-3019.00
https://onet.org.ai/Occupation/Aerospace_Engineering_and_Operations_Technologists_and_Technicians	onet.org.ai	Occupation	Aerospace_Engineering_and_Operations_Technologists_and_Technicians	Aerospace Engineering and Operations Technologists and Technicians		17-3021.00	https://www.onetonline.org/link/summary/17-3021.00
https://onet.org.ai/Occupation/Civil_Engineering_Technologists_and_Technicians	onet.org.ai	Occupation	Civil_Engineering_Technologists_and_Technicians	Civil Engineering Technologists and Technicians		17-3022.00	https://www.onetonline.org/link/summary/17-3022.00
https://onet.org.ai/Occupation/Electrical_and_Electronic_Engineering_Technologists_and_Technicians	onet.org.ai	Occupation	Electrical_and_Electronic_Engineering_Technologists_and_Technicians	Electrical and Electronic Engineering Technologists and Technicians		17-3023.00	https://www.onetonline.org/link/summary/17-3023.00
https://onet.org.ai/Occupation/Electro-Mechanical_and_Mechatronics_Technologists_and_Technicians	onet.org.ai	Occupation	Electro-Mechanical_and_Mechatronics_Technologists_and_Technicians	Electro-Mechanical and Mechatronics Technologists and Technicians		17-3024.00	https://www.onetonline.org/link/summary/17-3024.00
https://onet.org.ai/Occupation/Robotics_Technicians	onet.org.ai	Occupation	Robotics_Technicians	Robotics Technicians		17-3024.01	https://www.onetonline.org/link/summary/17-3024.01
https://onet.org.ai/Occupation/Environmental_Engineering_Technologists_and_Technicians	onet.org.ai	Occupation	Environmental_Engineering_Technologists_and_Technicians	Environmental Engineering Technologists and Technicians		17-3025.00	https://www.onetonline.org/link/summary/17-3025.00
https://onet.org.ai/Occupation/Industrial_Engineering_Technologists_and_Technicians	onet.org.ai	Occupation	Industrial_Engineering_Technologists_and_Technicians	Industrial Engineering Technologists and Technicians		17-3026.00	https://www.onetonline.org/link/summary/17-3026.00
https://onet.org.ai/Occupation/Nanotechnology_Engineering_Technologists_and_Technicians	onet.org.ai	Occupation	Nanotechnology_Engineering_Technologists_and_Technicians	Nanotechnology Engineering Technologists and Technicians		17-3026.01	https://www.onetonline.org/link/summary/17-3026.01
https://onet.org.ai/Occupation/Mechanical_Engineering_Technologists_and_Technicians	onet.org.ai	Occupation	Mechanical_Engineering_Technologists_and_Technicians	Mechanical Engineering Technologists and Technicians		17-3027.00	https://www.onetonline.org/link/summary/17-3027.00
https://onet.org.ai/Occupation/Automotive_Engineering_Technicians	onet.org.ai	Occupation	Automotive_Engineering_Technicians	Automotive Engineering Technicians		17-3027.01	https://www.onetonline.org/link/summary/17-3027.01
https://onet.org.ai/Occupation/Calibration_Technologists_and_Technicians	onet.org.ai	Occupation	Calibration_Technologists_and_Technicians	Calibration Technologists and Technicians		17-3028.00	https://www.onetonline.org/link/summary/17-3028.00
https://onet.org.ai/Occupation/Engineering_Technologists_and_Technicians,_Except_Drafters,_All_Other	onet.org.ai	Occupation	Engineering_Technologists_and_Technicians,_Except_Drafters,_All_Other	Engineering Technologists and Technicians, Except Drafters, All Other		17-3029.00	https://www.onetonline.org/link/summary/17-3029.00
https://onet.org.ai/Occupation/Non-Destructive_Testing_Specialists	onet.org.ai	Occupation	Non-Destructive_Testing_Specialists	Non-Destructive Testing Specialists		17-3029.01	https://www.onetonline.org/link/summary/17-3029.01
https://onet.org.ai/Occupation/Photonics_Technicians	onet.org.ai	Occupation	Photonics_Technicians	Photonics Technicians		17-3029.08	https://www.onetonline.org/link/summary/17-3029.08
https://onet.org.ai/Occupation/Surveying_and_Mapping_Technicians	onet.org.ai	Occupation	Surveying_and_Mapping_Technicians	Surveying and Mapping Technicians		17-3031.00	https://www.onetonline.org/link/summary/17-3031.00
https://onet.org.ai/Occupation/Animal_Scientists	onet.org.ai	Occupation	Animal_Scientists	Animal Scientists		19-1011.00	https://www.onetonline.org/link/summary/19-1011.00
