compound	component	position	totalComponents
StaffingPlan	Plan	1	2
CandidateSelectionTools	Candidate	0	3
CandidateSelectionTools	Selection	1	3
CandidateSelectionTools	Tools	2	3
ApplicantData	Applicant	0	2
ApplicantData	Data	1	2
PerformanceProgram	Performance	0	2
PerformanceProgram	Program	1	2
CompensationRequirementsBased	Compensation	0	3
CompensationRequirementsBased	Requirements	1	3
CompensationRequirementsBased	Based	2	3
TimeAttendanceSystems	Time	0	3
TimeAttendanceSystems	Attendance	1	3
TimeAttendanceSystems	Systems	2	3
EmployeeSuggestionsPerformEmployeeResearch	Employee	0	5
EmployeeSuggestionsPerformEmployeeResearch	Suggestions	1	5
EmployeeSuggestionsPerformEmployeeResearch	Perform	2	5
EmployeeSuggestionsPerformEmployeeResearch	Employee	3	5
EmployeeSuggestionsPerformEmployeeResearch	Research	4	5
ItCapabilities	It	0	2
ItCapabilities	Capabilities	1	2
ItCustomerRequirements	It	0	3
ItCustomerRequirements	Customer	1	3
ItCustomerRequirements	Requirements	2	3
ItOpportunities	It	0	2
ItOpportunities	Opportunities	1	2
ItServiceLevels	It	0	3
ItServiceLevels	Service	1	3
ItServiceLevels	Levels	2	3
ImprovementProcesses	Improvement	0	2
ImprovementProcesses	Processes	1	2
ItPerformanceInformation	It	0	3
ItPerformanceInformation	Performance	1	3
ItPerformanceInformation	Information	2	3
ItBusinessStrategy	It	0	3
ItBusinessStrategy	Business	1	3
ItBusinessStrategy	Strategy	2	3
ItStrategicIntelligence	It	0	3
ItStrategicIntelligence	Strategic	1	3
ItStrategicIntelligence	Intelligence	2	3
CurrentEmergingTechnologies	Current	0	3
CurrentEmergingTechnologies	Emerging	1	3
CurrentEmergingTechnologies	Technologies	2	3
DigitalTransformationStrategy	Digital	0	3
DigitalTransformationStrategy	Transformation	1	3
DigitalTransformationStrategy	Strategy	2	3
ItStrategicAlignment	It	0	3
ItStrategicAlignment	Strategic	1	3
ItStrategicAlignment	Alignment	2	3
ItValueCriteria	It	0	3
ItValueCriteria	Value	1	3
ItValueCriteria	Criteria	2	3
EnterpriseArchitecture	Enterprise	0	2
EnterpriseArchitecture	Architecture	1	2
EnterpriseArchitecturePrinciples	Enterprise	0	3
EnterpriseArchitecturePrinciples	Architecture	1	3
EnterpriseArchitecturePrinciples	Principles	2	3
EnterpriseArchitectureGovernance	Enterprise	0	3
EnterpriseArchitectureGovernance	Architecture	1	3
EnterpriseArchitectureGovernance	Governance	2	3
ItServiceManagementStrategy	It	0	4
ItServiceManagementStrategy	Service	1	4
ItServiceManagementStrategy	Management	2	4
ItServiceManagementStrategy	Strategy	3	4
ItServiceManagement	It	0	3
ItServiceManagement	Service	1	3
ItServiceManagement	Management	2	3
SupportServiceManagementProcessToolsMethods	Support	0	6
SupportServiceManagementProcessToolsMethods	Service	1	6
SupportServiceManagementProcessToolsMethods	Management	2	6
SupportServiceManagementProcessToolsMethods	Process	3	6
SupportServiceManagementProcessToolsMethods	Tools	4	6
SupportServiceManagementProcessToolsMethods	Methods	5	6
ItPerformance	It	0	2
ItPerformance	Performance	1	2
OverallItPerformance	Overall	0	3
OverallItPerformance	It	1	3
OverallItPerformance	Performance	2	3
ItFinancialPerformance	It	0	3
ItFinancialPerformance	Financial	1	3
ItFinancialPerformance	Performance	2	3
ItValueBenefits	It	0	3
ItValueBenefits	Value	1	3
ItValueBenefits	Benefits	2	3
ItPortfolioAdjustments	It	0	3
ItPortfolioAdjustments	Portfolio	1	3
