url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy
https://schema.org.ai/Type/Schema:muscle	schema.org.ai	Type	Schema:muscle	schema:Muscle	schema:Muscle		Muscle	A muscle is an anatomical structure consisting of a contractile form of tissue that animals use to effect movement.	schema:AnatomicalStructure	
https://schema.org.ai/Type/Schema:carusagetype	schema.org.ai	Type	Schema:carusagetype	schema:CarUsageType	schema:CarUsageType		CarUsageType	A value indicating a special usage of a car, e.g. commercial rental, driving school, or as a taxi.	schema:Enumeration	
https://schema.org.ai/Type/Schema:howto	schema.org.ai	Type	Schema:howto	schema:HowTo	schema:HowTo		HowTo	Instructions that explain how to achieve a result by performing a sequence of steps.	schema:CreativeWork	
https://schema.org.ai/Type/Schema:permit	schema.org.ai	Type	Schema:permit	schema:Permit	schema:Permit		Permit	A permit issued by an organization, e.g. a parking pass.	schema:Intangible	
https://schema.org.ai/Type/Schema:locationfeaturespecification	schema.org.ai	Type	Schema:locationfeaturespecification	schema:LocationFeatureSpecification	schema:LocationFeatureSpecification		LocationFeatureSpecification	Specifies a location feature by providing a structured value representing a feature of an accommodation as a property-value pair of varying degrees of formality.	schema:PropertyValue	
https://schema.org.ai/Type/Schema:unregisteraction	schema.org.ai	Type	Schema:unregisteraction	schema:UnRegisterAction	schema:UnRegisterAction		UnRegisterAction	The act of un-registering from a service.\n\nRelated actions:\n\n* [[RegisterAction]]: antonym of UnRegisterAction.\n* [[LeaveAction]]: Unlike LeaveAction, UnRegisterAction implies that you are unregistering from a service you were previously registered, rather than leaving a team/group of people.	schema:InteractAction	
https://schema.org.ai/Type/Schema:itemlistordertype	schema.org.ai	Type	Schema:itemlistordertype	schema:ItemListOrderType	schema:ItemListOrderType		ItemListOrderType	Enumerated for values for itemListOrder for indicating how an ordered ItemList is organized.	schema:Enumeration	
https://schema.org.ai/Type/Schema:demand	schema.org.ai	Type	Schema:demand	schema:Demand	schema:Demand		Demand	A demand entity represents the public, not necessarily binding, not necessarily exclusive, announcement by an organization or person to seek a certain type of goods or services. For describing demand using this type, the very same properties used for Offer apply.	schema:Intangible	
https://schema.org.ai/Type/Schema:profilepage	schema.org.ai	Type	Schema:profilepage	schema:ProfilePage	schema:ProfilePage		ProfilePage	Web page type: Profile page.	schema:WebPage	
https://schema.org.ai/Type/Schema:someproducts	schema.org.ai	Type	Schema:someproducts	schema:SomeProducts	schema:SomeProducts		SomeProducts	A placeholder for multiple similar products of the same kind.	schema:Product	
