$id	$type	$context	name	description	code	subClassOf	url
https://schema.org.ai/ContactPage	https://schema.org.ai/Class	https://schema.org.ai	ContactPage	Web page type: Contact page.	schema:ContactPage	schema:WebPage	schema:ContactPage
https://schema.org.ai/Audience	https://schema.org.ai/Class	https://schema.org.ai	Audience	Intended audience for an item, i.e. the group for whom the item was created.	schema:Audience	schema:Intangible	schema:Audience
https://schema.org.ai/ProgramMembership	https://schema.org.ai/Class	https://schema.org.ai	ProgramMembership	Used to describe membership in a loyalty programs (e.g. "StarAliance"), traveler clubs (e.g. "AAA"), purchase clubs ("Safeway Club"), etc.	schema:ProgramMembership	schema:Intangible	schema:ProgramMembership
https://schema.org.ai/LinkRole	https://schema.org.ai/Class	https://schema.org.ai	LinkRole	A Role that represents a Web link, e.g. as expressed via the 'url' property. Its linkRelationship property can indicate URL-based and plain textual link types, e.g. those in IANA link registry or others such as 'amphtml'. This structure provides a placeholder where details from HTML's link element can be represented outside of HTML, e.g. in JSON-LD feeds.	schema:LinkRole	schema:Role	schema:LinkRole
https://schema.org.ai/ReportageNewsArticle	https://schema.org.ai/Class	https://schema.org.ai	ReportageNewsArticle	The [[ReportageNewsArticle]] type is a subtype of [[NewsArticle]] representing  news articles which are the result of journalistic news reporting conventions.  In practice many news publishers produce a wide variety of article types, many of which might be considered a [[NewsArticle]] but not a [[ReportageNewsArticle]]. For example, opinion pieces, reviews, analysis, sponsored or satirical articles, or articles that combine several of these elements.  The [[ReportageNewsArticle]] type is based on a stricter ideal for "news" as a work of journalism, with articles based on factual information either observed or verified by the author, or reported and verified from knowledgeable sources.  This often includes perspectives from multiple viewpoints on a particular issue (distinguishing news reports from public relations or propaganda).  News reports in the [[ReportageNewsArticle]] sense de-emphasize the opinion of the author, with commentary and value judgements typically expressed elsewhere.  A [[ReportageNewsArticle]] which goes deeper into analysis can also be marked with an additional type of [[AnalysisNewsArticle]]. 	schema:ReportageNewsArticle	schema:NewsArticle	schema:ReportageNewsArticle
https://schema.org.ai/WearableSizeGroupEnumeration	https://schema.org.ai/Class	https://schema.org.ai	WearableSizeGroupEnumeration	Enumerates common size groups (also known as "size types") for wearable products.	schema:WearableSizeGroupEnumeration	schema:SizeGroupEnumeration	schema:WearableSizeGroupEnumeration
https://schema.org.ai/ScreeningEvent	https://schema.org.ai/Class	https://schema.org.ai	ScreeningEvent	A screening of a movie or other video.	schema:ScreeningEvent	schema:Event	schema:ScreeningEvent
https://schema.org.ai/QAPage	https://schema.org.ai/Class	https://schema.org.ai	QAPage	A QAPage is a WebPage focussed on a specific Question and its Answer(s), e.g. in a question answering site or documenting Frequently Asked Questions (FAQs).	schema:QAPage	schema:WebPage	schema:QAPage
https://schema.org.ai/Brewery	https://schema.org.ai/Class	https://schema.org.ai	Brewery	Brewery.	schema:Brewery	schema:FoodEstablishment	schema:Brewery
https://schema.org.ai/LegalValueLevel	https://schema.org.ai/Class	https://schema.org.ai	LegalValueLevel	A list of possible levels for the legal validity of a legislation.	schema:LegalValueLevel	schema:Enumeration	schema:LegalValueLevel
