ns	type	id	name	description	code	commodityTitle
onet.org.ai	Tool	CoolantChillers	Coolant chillers	Coolant chillers	40101720	
onet.org.ai	Tool	DigitalBenchScales	Digital bench scales	Digital bench scales	41111507	
onet.org.ai	Tool	DropIndicators	Drop indicators	Drop indicators	41111630	
onet.org.ai	Tool	FilletGauges	Fillet gauges	Fillet gauges	41111631	
onet.org.ai	Tool	IndustrialBenchGrinders	Industrial bench grinders	Industrial bench grinders	23241401	
onet.org.ai	Tool	Inside_Digital_Id_Micrometers	Inside digital ID micrometers	Inside digital ID micrometers	41111601	
onet.org.ai	Tool	MachineDeburringTools	Machine deburring tools	Machine deburring tools	27111526	
onet.org.ai	Tool	MechanicalComparators	Mechanical comparators	Mechanical comparators	41113702	
onet.org.ai	Tool	MetalPlaners	Metal planers	Metal planers	23242510	
onet.org.ai	Tool	Outside_Digital_Od_Micrometers	Outside digital OD micrometers	Outside digital OD micrometers	41111601	
onet.org.ai	Tool	PolishingTools	Polishing tools	Polishing tools	23242605	
onet.org.ai	Tool	PrecisionRules	Precision rules	Precision rules	41111604	
onet.org.ai	Tool	SettingJigs	Setting jigs	Setting jigs	23153007	
onet.org.ai	Tool	SoftJaws	Soft jaws	Soft jaws	27112807	
onet.org.ai	Tool	TurretLathes	Turret lathes	Turret lathes	23242305	
onet.org.ai	Tool	Vertical_Machining_Centers_Vmc	Vertical machining centers VMC	Vertical machining centers VMC	23242403	
onet.org.ai	Tool	3_Axis_Computerized_Numerical_Control_Cnc_Machines	3-axis computerized numerical control CNC machines	3-axis computerized numerical control CNC machines	23242506	
onet.org.ai	Tool	BrakePresses	Brake presses	Brake presses	23251502	
onet.org.ai	Tool	BreakerLathes	Breaker lathes	Breaker lathes	23242304	
onet.org.ai	Tool	Broachers	Broachers	Broachers	23241903	
onet.org.ai	Tool	CenterDrills	Center drills	Center drills	23101502	
onet.org.ai	Tool	CentrifugalSpinCasters	Centrifugal spin casters	Centrifugal spin casters	23161510	
onet.org.ai	Tool	Chucks	Chucks	Chucks	27112807	
onet.org.ai	Tool	ColdSaws	Cold saws	Cold saws	27112709	
onet.org.ai	Tool	CombinationDrills	Combination drills	Combination drills	27112703	
onet.org.ai	Tool	CompositionHammers	Composition hammers	Composition hammers	27111602	
onet.org.ai	Tool	Computerized_Numerical_Control_Cnc_Turning_Lathes	Computerized numerical control CNC turning lathes	Computerized numerical control CNC turning lathes	23242303	
onet.org.ai	Tool	CrankshaftGrinders	Crankshaft grinders	Crankshaft grinders	23101506	
onet.org.ai	Tool	CylinderHoners	Cylinder honers	Cylinder honers	27111908	
onet.org.ai	Tool	DrumLathes	Drum lathes	Drum lathes	23242303	
onet.org.ai	Tool	FlywheelLathes	Flywheel lathes	Flywheel lathes	23242303	
onet.org.ai	Tool	GrindingWheelArbors	Grinding wheel arbors	Grinding wheel arbors	27112811	
onet.org.ai	Tool	HandheldWelders	Handheld welders	Handheld welders	23271406	
onet.org.ai	Tool	HeatTreatingEquipment	Heat-treating equipment	Heat-treating equipment	23281601	
onet.org.ai	Tool	HermaphroditeCalipers	Hermaphrodite calipers	Hermaphrodite calipers	41111621	
onet.org.ai	Tool	HorizontalMills	Horizontal mills	Horizontal mills	23242401	
onet.org.ai	Tool	InsideSpringCalipers	Inside spring calipers	Inside spring calipers	41111621	
onet.org.ai	Tool	KneeMills	Knee mills	Knee mills	23242503	
onet.org.ai	Tool	Machine_Shop_Rigging_Equipment	Machine shop rigging equipment	Machine shop rigging equipment	24101611	
onet.org.ai	Tool	MachinistsSquares	Machinists' squares	Machinists' squares	27111803	
onet.org.ai	Tool	MarkingBlocks	Marking blocks	Marking blocks	41111618	
onet.org.ai	Tool	MetalSprayEquipment	Metal spray equipment	Metal spray equipment	23281503	
onet.org.ai	Tool	Milling_Angle_Form_Cutters	Milling angle form cutters	Milling angle form cutters	23242511	
onet.org.ai	Tool	MillingVises	Milling vises	Milling vises	27112102	
onet.org.ai	Tool	OutsideSpringCalipers	Outside spring calipers	Outside spring calipers	41111621	
onet.org.ai	Tool	PillarDrillMachines	Pillar drill machines	Pillar drill machines	23101502	
onet.org.ai	Tool	ResurfacingMachines	Resurfacing machines	Resurfacing machines	23242609	
onet.org.ai	Tool	SpindleBladeScrewdrivers	Spindle blade screwdrivers	Spindle blade screwdrivers	27111701	
onet.org.ai	Tool	SquareChisels	Square chisels	Square chisels	27111901	
onet.org.ai	Tool	ThreadingMachines	Threading machines	Threading machines	23241511	
onet.org.ai	Tool	UndercutTools	Undercut tools	Undercut tools	27112733	
onet.org.ai	Tool	VernierBevelProtractors	Vernier bevel protractors	Vernier bevel protractors	44111806	
onet.org.ai	Tool	Vernier_Gear_Tooth_Calipers	Vernier gear tooth calipers	Vernier gear tooth calipers	41111621	
onet.org.ai	Tool	AnnealFurnaces	Anneal furnaces	Anneal furnaces	40101805	
onet.org.ai	Tool	ArgonPurgingSystems	Argon purging systems	Argon purging systems	40101805	
onet.org.ai	Tool	BasicOxygenFurnaces	Basic oxygen furnaces	Basic oxygen furnaces	40101805	
onet.org.ai	Tool	BlastFurnaces	Blast furnaces	Blast furnaces	40101805	
onet.org.ai	Tool	ChannelInductionFurnaces	Channel induction furnaces	Channel induction furnaces	40101805	
onet.org.ai	Tool	ChemicalProtectionGoggles	Chemical protection goggles	Chemical protection goggles	46181804	
onet.org.ai	Tool	CoalFurnaces	Coal furnaces	Coal furnaces	40101805	
onet.org.ai	Tool	ControlComputers	Control computers	Control computers	43201542	
onet.org.ai	Tool	CorelessInductionFurnaces	Coreless induction furnaces	Coreless induction furnaces	40101805	
onet.org.ai	Tool	DryingSystems	Drying systems	Drying systems	23161503	
