id	name	description	code
AdjustablePipeWrenches	Adjustable pipe wrenches	Adjustable pipe wrenches	27111708
AdjustableRoofBrackets	Adjustable roof brackets	Adjustable roof brackets	31162502
AdjustableSlipLockNutWrenches	Adjustable slip lock nut wrenches	Adjustable slip lock nut wrenches	27111707
AdjustableSpannerWrenches	Adjustable spanner wrenches	Adjustable spanner wrenches	27111726
AdjustableSquares	Adjustable squares	Adjustable squares	27111803
AdjustableTaskLamps	Adjustable task lamps	Adjustable task lamps	39101612
AdjustableWedges	Adjustable wedges	Adjustable wedges	27112504
AdjustableWidemouthPliers	Adjustable widemouth pliers	Adjustable widemouth pliers	27112107
AdjustableWrenches	Adjustable wrenches	Adjustable wrenches	27111707
AdjustableWrenchSets	Adjustable wrench sets	Adjustable wrench sets	27111707
AdjustingTables	Adjusting tables	Adjusting tables	42191808
AdjustmentTables	Adjustment tables	Adjustment tables	42251620
AdsonForceps	Adson forceps	Adson forceps	42291802
AdultFixationTargets	Adult fixation targets	Adult fixation targets	42192703
AdultMagillForceps	Adult Magill forceps	Adult Magill forceps	42272005
AdultNonRebreatherOxygenMasks	Adult non-rebreather oxygen masks	Adult non-rebreather oxygen masks	42271708
AdultStylets	Adult stylets	Adult stylets	42272004
AdultTrialFrames	Adult trial frames	Adult trial frames	42183009
AdultTrocars	Adult trocars	Adult trocars	42291635
AerationCompressors	Aeration compressors	Aeration compressors	47101513
AerationPumps	Aeration pumps	Aeration pumps	40151501
Aerators	Aerators	Aerators	42281501
AerialBucketTrucks	Aerial bucket trucks	Aerial bucket trucks	22101803
AerialImageryMappingGradeGlobalPositioningSystemsGps	Aerial imagery mapping-grade global positioning systems GPS	Aerial imagery mapping-grade global positioning systems GPS	25201604
AerialLiftingApparatus	Aerial lifting apparatus	Aerial lifting apparatus	22101801
AerialLifts	Aerial lifts	Aerial lifts	22101801
AerialLiftTrucks	Aerial lift trucks	Aerial lift trucks	24101624
AerialManlifts	Aerial manlifts	Aerial manlifts	22101801
AerialNets	Aerial nets	Aerial nets	41102507
AerialPersonnelLifts	Aerial personnel lifts	Aerial personnel lifts	22101801
AerialTrucks	Aerial trucks	Aerial trucks	25101708
AerobicDigesters	Aerobic digesters	Aerobic digesters	47101538
AerobicGrowthChambers	Aerobic growth chambers	Aerobic growth chambers	41103410
AerobicLaboratoryScaleReactors	Aerobic laboratory scale reactors	Aerobic laboratory scale reactors	23151804
AeroilPropaneKettles	Aeroil propane kettles	Aeroil propane kettles	40101816
AerosolAnalyzers	Aerosol analyzers	Aerosol analyzers	41104008
AerosolFoggers	Aerosol foggers	Aerosol foggers	21101805
AerosolGenerators	Aerosol generators	Aerosol generators	21101805
