url	ns	type	id	code	name	description	source	level	segment	segmentCode	family	familyCode	class	classCode	parent	hierarchy
https://napcs.org.ai/ServiceSubclass/Lentils	napcs.org.ai	ServiceSubclass	Lentils	114312	Lentils	This subclass comprises lentils.	NAPCS	3							11431	
https://napcs.org.ai/Service/LargeGreenLentils	napcs.org.ai	Service	LargeGreenLentils	1143121	Large green lentils	Large green lentils.	NAPCS	4							114312	
https://napcs.org.ai/Service/RedLentils	napcs.org.ai	Service	RedLentils	1143122	Red lentils	Red lentils.	NAPCS	4							114312	
https://napcs.org.ai/Service/SmallGreenLentils	napcs.org.ai	Service	SmallGreenLentils	1143123	Small green lentils	Small green lentils.	NAPCS	4							114312	
https://napcs.org.ai/Service/OtherLentils	napcs.org.ai	Service	OtherLentils	1143124	Other lentils	Other lentils.	NAPCS	4							114312	
https://napcs.org.ai/ServiceSubclass/DryBeans	napcs.org.ai	ServiceSubclass	DryBeans	114313	Dry beans	This subclass comprises dry beans.	NAPCS	3							11431	
https://napcs.org.ai/Service/DryWhiteBeans	napcs.org.ai	Service	DryWhiteBeans	1143131	Dry white beans	Dry white beans.	NAPCS	4							114313	
https://napcs.org.ai/Service/DryColouredBeans	napcs.org.ai	Service	DryColouredBeans	1143132	Dry coloured beans	Dry coloured beans.	NAPCS	4							114313	
https://napcs.org.ai/ServiceSubclass/DryPeas	napcs.org.ai	ServiceSubclass	DryPeas	114314	Dry peas	This subclass comprises dry peas.	NAPCS	3							11431	
https://napcs.org.ai/Service/YellowDryPeas	napcs.org.ai	Service	YellowDryPeas	1143141	Yellow dry peas	Yellow dry peas.	NAPCS	4							114314	
https://napcs.org.ai/Service/GreenDryPeas	napcs.org.ai	Service	GreenDryPeas	1143142	Green dry peas	Green dry peas.	NAPCS	4							114314	
https://napcs.org.ai/Service/OtherDryPeas	napcs.org.ai	Service	OtherDryPeas	1143143	Other dry peas	Other dry peas.	NAPCS	4							114314	
https://napcs.org.ai/ServiceSubclass/OtherPulseCrops	napcs.org.ai	ServiceSubclass	OtherPulseCrops	114315	Other pulse crops	This subclass comprises other pulse crops.	NAPCS	3							11431	
https://napcs.org.ai/Service/FabaBeans	napcs.org.ai	Service	FabaBeans	1143151	Faba beans	Faba beans.	NAPCS	4							114315	
https://napcs.org.ai/Service/OtherPulseCrops1143152	napcs.org.ai	Service	OtherPulseCrops1143152	1143152	Other pulse crops		NAPCS	4							114315	
https://napcs.org.ai/ServiceGroup/OtherCropProducts	napcs.org.ai	ServiceGroup	OtherCropProducts	115	Other crop products	This group comprises crop products n.e.c.	NAPCS	1								
https://napcs.org.ai/ServiceClass/Grains	napcs.org.ai	ServiceClass	Grains	11511	Grains (except wheat)	This class comprises unmilled cereal type grains	NAPCS	2							115	
https://napcs.org.ai/ServiceSubclass/CornGrain	napcs.org.ai	ServiceSubclass	CornGrain	115111	Corn for grain	This subclass comprises unmilled corn for grain.	NAPCS	3							11511	
https://napcs.org.ai/Service/CornGrain1151111	napcs.org.ai	Service	CornGrain1151111	1151111	Corn for grain	Unmilled corn for grain.	NAPCS	4							115111	
https://napcs.org.ai/ServiceSubclass/UnmilledRice	napcs.org.ai	ServiceSubclass	UnmilledRice	115112	Unmilled rice	This subclass comprises unmilled rice.	NAPCS	3							11511	
