personId	roleId
Employee	Steamfitters
Employee	SteelWorkers
Employee	Stonemasons
Employee	StoneSetters
Employee	StreetcarOperators
Employee	StuccoMasons
Employee	SubstanceAbuseSocialWorkers
Employee	SubstituteTeachersShortTerm
Employee	SurgeonsAllOther
Employee	SurgicalAssistants
Employee	SurgicalTechnologists
Employee	Surveyors
Employee	SurveyResearchers
Employee	SustainabilitySpecialists
Employee	SystemOperators
Employee	SystemOperatorsAllOther
Employee	SystemsAssemblers
Employee	TampingEquipmentOperators
Employee	Tapers
Employee	TaxiDrivers
Employee	TaxPreparers
Employee	TeachersPostsecondary
Employee	TeachingAssistants
Employee	TeachingAssistantsAllOther
Employee	TeachingAssistantsPostsecondary
Employee	TeachingAssistantsSpecialEducation
Employee	TeamAssemblers
Employee	TechnicalWorkersAllOther
Employee	TechnicalWriters
Employee	Technicians
Employee	TechniciansAllOther
Employee	Technologists
Employee	TelecommunicationsEngineeringSpecialists
Employee	Telemarketers
Employee	TelephoneOperators
Employee	Tellers
Employee	Tenders
Employee	TendersWood
Employee	Testers
Employee	TherapistsAllOther
Employee	TicketTakers
Employee	Timekeeping
Employee	TimekeepingClerks
Employee	TireBuilders
Employee	TowerOperators
Employee	TrackSwitchRepairers
Employee	TractorOperators
Employee	TractorTrailerTruckDrivers
Employee	TrafficTechnicians
Employee	Translators
Employee	TransportationEngineers
Employee	TransportationInspectors
Employee	TransportationPlanners
Employee	TransportationSecurityScreeners
Employee	TransportationWorkersAllOther
Employee	Travel
Employee	TravelAgents
Employee	TravelClerks
Employee	TravelGuides
Employee	TreatingPractitionersAllOther
Employee	Trimmers
Employee	TrimmersHand
Employee	Tuners
Employee	Tutors
Employee	Typists
Employee	UndergroundMiningMachineOperatorsAllOther
Employee	Upholsterers
Employee	Urologists
Employee	ValidationEngineers
Employee	Veterinarians
Employee	VideoEditors
Employee	VideoGameDesigners
Employee	VideoTechnicians
Employee	VisionRehabilitationTherapists
Employee	Waitresses
Employee	Wall
Employee	WatercraftServiceAttendants
Employee	WaterResourceSpecialists
Employee	WaterWastewaterEngineers
Employee	WebAdministrators
Employee	WebDevelopers
Employee	Weighers
Employee	WellheadPumpers
Employee	WellnessCoordinators
Employee	WildlifeBiologists
Employee	WinchOperators
Employee	WindEnergyEngineers
Employee	WindowTrimmers
Employee	WindTurbineServiceTechnicians
Employee	WoodworkersAllOther
Employee	Workers
Employee	Yardmasters
Executive	ChiefExecutives
Executive	ChiefSustainabilityOfficers
Executive	Executive
Executive	ExecutiveAdministrativeAssistants
Manager	AdministrativeServicesManagers
Manager	AdministrativeSupportWorkers
Manager	AircraftCargoHandlingSupervisors
Manager	Athletes
Manager	BenefitsManagers
Manager	BiofuelsProductionManagers
Manager	BiomassPowerPlantManagers
Manager	ClinicalDataManagers
Manager	CommunityAssociationManagers
Manager	CommunityServiceManagers
Manager	ComplianceManagers
Manager	ConstructionManagers
Manager	Detectives
Manager	DevelopmentManagers
Manager	DistributionManagers
Manager	EngineeringManagers
Manager	ExtractionWorkers
Manager	FacilitiesManagers
Manager	FinancialManagers
Manager	FirstLineSupervisorsOfAirCrewMembers
Manager	FirstLineSupervisorsOfAllOtherTacticalOperationsSpecialists
Manager	FirstLineSupervisorsOfCorrectionalOfficers
Manager	FirstLineSupervisorsOfGamblingServicesWorkers
Manager	FirstLineSupervisorsOfNonRetailSalesWorkers
Manager	FirstLineSupervisorsOfPassengerAttendants
Manager	FirstLineSupervisorsOfPersonalServiceWorkers
Manager	FirstLineSupervisorsOfProtectiveServiceWorkersAllOther
Manager	FirstLineSupervisorsOfRetailSalesWorkers
Manager	FirstLineSupervisorsOfSecurityWorkers
Manager	FirstLineSupervisorsOfTransportationWorkersAllOther
Manager	FirstLineSupervisorsOfWeaponsSpecialistsCrewMembers
Manager	FoodServiceManagers
Manager	ForestryWorkers
