url	ns	type	id	name	description	code	domainIncludes	rangeIncludes	sourceUrl
https://schema.org.ai/maxValue	schema.org.ai	Property	maxValue	maxValue	The upper value of some characteristic or property.	maxValue	PropertyValueSpecification,QuantitativeValue,PropertyValue,MonetaryAmount	Number	maxValue
https://schema.org.ai/device	schema.org.ai	Property	device	device	Device required to run the application. Used in cases where a specific make/model is required to run the application.	device	SoftwareApplication	Text	device
https://schema.org.ai/returnMethod	schema.org.ai	Property	returnMethod	returnMethod	The type of return method offered, specified from an enumeration.	returnMethod	MerchantReturnPolicy,MerchantReturnPolicySeasonalOverride	ReturnMethodEnumeration	returnMethod
https://schema.org.ai/creator	schema.org.ai	Property	creator	creator	The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.	creator	CreativeWork,UserComments	Person,Organization	creator
https://schema.org.ai/height	schema.org.ai	Property	height	height	The height of the item.	height	MediaObject,Person,Product,OfferShippingDetails,ShippingConditions,VisualArtwork	Distance,QuantitativeValue	height
https://schema.org.ai/numberOfBedrooms	schema.org.ai	Property	numberOfBedrooms	numberOfBedrooms	The total integer number of bedrooms in a some [[Accommodation]], [[ApartmentComplex]] or [[FloorPlan]].	numberOfBedrooms	Accommodation,FloorPlan,ApartmentComplex	Number,QuantitativeValue	numberOfBedrooms
https://schema.org.ai/programPrerequisites	schema.org.ai	Property	programPrerequisites	programPrerequisites	Prerequisites for enrolling in the program.	programPrerequisites	EducationalOccupationalProgram	AlignmentObject,Course,EducationalOccupationalCredential,Text	programPrerequisites
https://schema.org.ai/providesBroadcastService	schema.org.ai	Property	providesBroadcastService	providesBroadcastService	The BroadcastService offered on this channel.	providesBroadcastService	BroadcastChannel	BroadcastService	providesBroadcastService
https://schema.org.ai/byMonthWeek	schema.org.ai	Property	byMonthWeek	byMonthWeek	Defines the week(s) of the month on which a recurring Event takes place. Specified as an Integer between 1-5. For clarity, byMonthWeek is best used in conjunction with byDay to indicate concepts like the first and third Mondays of a month.	byMonthWeek	Schedule	Integer	byMonthWeek
https://schema.org.ai/bookEdition	schema.org.ai	Property	bookEdition	bookEdition	The edition of the book.	bookEdition	Book	Text	bookEdition
https://schema.org.ai/accessMode	schema.org.ai	Property	accessMode	accessMode	The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Values should be drawn from the [approved vocabulary](https://www.w3.org/2021/a11y-discov-vocab/latest/#accessMode-vocabulary).	accessMode	CreativeWork	Text	accessMode
https://schema.org.ai/linkRelationship	schema.org.ai	Property	linkRelationship	linkRelationship	Indicates the relationship type of a Web link. 	linkRelationship	LinkRole	Text	linkRelationship
https://schema.org.ai/associatedPathophysiology	schema.org.ai	Property	associatedPathophysiology	associatedPathophysiology	If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.	associatedPathophysiology	AnatomicalSystem,AnatomicalStructure,SuperficialAnatomy	Text	associatedPathophysiology
https://schema.org.ai/valueReference	schema.org.ai	Property	valueReference	valueReference	A secondary value that provides additional information on the original value, e.g. a reference temperature or a type of measurement.	valueReference	QualitativeValue,QuantitativeValue,PropertyValue	DefinedTerm,MeasurementTypeEnumeration,Text,Enumeration,QualitativeValue,QuantitativeValue,PropertyValue,StructuredValue	valueReference
https://schema.org.ai/partOfEpisode	schema.org.ai	Property	partOfEpisode	partOfEpisode	The episode to which this clip belongs.	partOfEpisode	Clip	Episode	partOfEpisode
