education_program_id	cip_code	career_cluster_id	subcluster_id
clinical-cardiac-electrophysiology-fellowship-program	61.0805	healthcare-human-services	healthcare-human-services/physical-health
endocrinology-diabetes-and-metabolism-fellowship-program	61.0806	education	education/teaching-training-facilitation
endocrinology-diabetes-and-metabolism-fellowship-program	61.0806	healthcare-human-services	healthcare-human-services/biotechnology-research-development
endocrinology-diabetes-and-metabolism-fellowship-program	61.0806	healthcare-human-services	healthcare-human-services/physical-health
gastroenterology-fellowship-program	61.0807	education	education/teaching-training-facilitation
gastroenterology-fellowship-program	61.0807	healthcare-human-services	healthcare-human-services/biotechnology-research-development
gastroenterology-fellowship-program	61.0807	healthcare-human-services	healthcare-human-services/physical-health
hematology-fellowship-program	61.0808	education	education/teaching-training-facilitation
hematology-fellowship-program	61.0808	healthcare-human-services	healthcare-human-services/biotechnology-research-development
hematology-fellowship-program	61.0808	healthcare-human-services	healthcare-human-services/physical-health
hematology-oncology-fellowship-program	61.0809	education	education/teaching-training-facilitation
hematology-oncology-fellowship-program	61.0809	healthcare-human-services	healthcare-human-services/biotechnology-research-development
hematology-oncology-fellowship-program	61.0809	healthcare-human-services	healthcare-human-services/physical-health
infectious-disease-fellowship-program	61.0810	education	education/teaching-training-facilitation
infectious-disease-fellowship-program	61.0810	healthcare-human-services	healthcare-human-services/biotechnology-research-development
infectious-disease-fellowship-program	61.0810	healthcare-human-services	healthcare-human-services/physical-health
interventional-cardiology-fellowship-program	61.0811	education	education/teaching-training-facilitation
interventional-cardiology-fellowship-program	61.0811	healthcare-human-services	healthcare-human-services/biotechnology-research-development
interventional-cardiology-fellowship-program	61.0811	healthcare-human-services	healthcare-human-services/physical-health
nephrology-fellowship-program	61.0812	education	education/teaching-training-facilitation
nephrology-fellowship-program	61.0812	healthcare-human-services	healthcare-human-services/biotechnology-research-development
nephrology-fellowship-program	61.0812	healthcare-human-services	healthcare-human-services/physical-health
medical-oncology-fellowship-program	61.0813	education	education/teaching-training-facilitation
medical-oncology-fellowship-program	61.0813	healthcare-human-services	healthcare-human-services/biotechnology-research-development
medical-oncology-fellowship-program	61.0813	healthcare-human-services	healthcare-human-services/physical-health
pulmonary-disease-fellowship-program	61.0814	education	education/teaching-training-facilitation
pulmonary-disease-fellowship-program	61.0814	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pulmonary-disease-fellowship-program	61.0814	healthcare-human-services	healthcare-human-services/physical-health
rheumatology-fellowship-program	61.0816	education	education/teaching-training-facilitation
rheumatology-fellowship-program	61.0816	healthcare-human-services	healthcare-human-services/biotechnology-research-development
rheumatology-fellowship-program	61.0816	healthcare-human-services	healthcare-human-services/physical-health
transplant-hepatology-fellowship-program	61.0818	education	education/teaching-training-facilitation
transplant-hepatology-fellowship-program	61.0818	healthcare-human-services	healthcare-human-services/biotechnology-research-development
transplant-hepatology-fellowship-program	61.0818	healthcare-human-services	healthcare-human-services/physical-health
internal-medicine-residencyfellowship-programs-other	61.0899	education	education/teaching-training-facilitation
internal-medicine-residencyfellowship-programs-other	61.0899	healthcare-human-services	healthcare-human-services/biotechnology-research-development
internal-medicine-residencyfellowship-programs-other	61.0899	healthcare-human-services	healthcare-human-services/physical-health
clinical-biochemical-genetics-residency-program	61.0901	education	education/teaching-training-facilitation
clinical-biochemical-genetics-residency-program	61.0901	healthcare-human-services	healthcare-human-services/biotechnology-research-development
clinical-biochemical-genetics-residency-program	61.0901	healthcare-human-services	healthcare-human-services/physical-health
clinical-genetics-and-genomics-residency-program	61.0902	education	education/teaching-training-facilitation
clinical-genetics-and-genomics-residency-program	61.0902	healthcare-human-services	healthcare-human-services/biotechnology-research-development
clinical-genetics-and-genomics-residency-program	61.0902	healthcare-human-services	healthcare-human-services/physical-health
laboratory-genetics-and-genomics-residency-program	61.0903	education	education/teaching-training-facilitation
laboratory-genetics-and-genomics-residency-program	61.0903	healthcare-human-services	healthcare-human-services/biotechnology-research-development
laboratory-genetics-and-genomics-residency-program	61.0903	healthcare-human-services	healthcare-human-services/physical-health
medical-biochemical-genetics-residency-program	61.0904	education	education/teaching-training-facilitation
medical-biochemical-genetics-residency-program	61.0904	healthcare-human-services	healthcare-human-services/biotechnology-research-development
medical-biochemical-genetics-residency-program	61.0904	healthcare-human-services	healthcare-human-services/physical-health
medical-genetics-and-genomics-residencyfellowship-programs-other	61.0999	education	education/teaching-training-facilitation
medical-genetics-and-genomics-residencyfellowship-programs-other	61.0999	healthcare-human-services	healthcare-human-services/biotechnology-research-development
medical-genetics-and-genomics-residencyfellowship-programs-other	61.0999	healthcare-human-services	healthcare-human-services/physical-health
neurological-surgery-residency-program	61.1001	education	education/teaching-training-facilitation
neurological-surgery-residency-program	61.1001	healthcare-human-services	healthcare-human-services/physical-health
neurological-surgery-residencyfellowship-programs-other	61.1099	education	education/teaching-training-facilitation
neurological-surgery-residencyfellowship-programs-other	61.1099	healthcare-human-services	healthcare-human-services/biotechnology-research-development
neurological-surgery-residencyfellowship-programs-other	61.1099	healthcare-human-services	healthcare-human-services/physical-health
neurology-residency-program	61.1101	education	education/teaching-training-facilitation
neurology-residency-program	61.1101	healthcare-human-services	healthcare-human-services/physical-health
child-neurology-residency-program	61.1102	education	education/teaching-training-facilitation
child-neurology-residency-program	61.1102	healthcare-human-services	healthcare-human-services/physical-health
clinical-neurophysiology-fellowship-program	61.1103	education	education/teaching-training-facilitation
clinical-neurophysiology-fellowship-program	61.1103	healthcare-human-services	healthcare-human-services/biotechnology-research-development
clinical-neurophysiology-fellowship-program	61.1103	healthcare-human-services	healthcare-human-services/physical-health
epilepsy-fellowship-program	61.1104	education	education/teaching-training-facilitation
epilepsy-fellowship-program	61.1104	healthcare-human-services	healthcare-human-services/biotechnology-research-development
epilepsy-fellowship-program	61.1104	healthcare-human-services	healthcare-human-services/physical-health
headache-medicine-fellowship-program	61.1105	education	education/teaching-training-facilitation
headache-medicine-fellowship-program	61.1105	healthcare-human-services	healthcare-human-services/biotechnology-research-development
headache-medicine-fellowship-program	61.1105	healthcare-human-services	healthcare-human-services/physical-health
neurodevelopmental-disabilities-fellowship-program	61.1106	education	education/teaching-training-facilitation
neurodevelopmental-disabilities-fellowship-program	61.1106	healthcare-human-services	healthcare-human-services/biotechnology-research-development
neurodevelopmental-disabilities-fellowship-program	61.1106	healthcare-human-services	healthcare-human-services/physical-health
vascular-neurology-fellowship-program	61.1107	education	education/teaching-training-facilitation
vascular-neurology-fellowship-program	61.1107	healthcare-human-services	healthcare-human-services/biotechnology-research-development
vascular-neurology-fellowship-program	61.1107	healthcare-human-services	healthcare-human-services/physical-health
neurology-residencyfellowship-programs-other	61.1199	education	education/teaching-training-facilitation
neurology-residencyfellowship-programs-other	61.1199	healthcare-human-services	healthcare-human-services/biotechnology-research-development
neurology-residencyfellowship-programs-other	61.1199	healthcare-human-services	healthcare-human-services/physical-health
nuclear-medicine-residency-program	61.1201	education	education/teaching-training-facilitation
nuclear-medicine-residency-program	61.1201	healthcare-human-services	healthcare-human-services/physical-health
nuclear-medicine-residencyfellowship-programs-other	61.1299	education	education/teaching-training-facilitation
nuclear-medicine-residencyfellowship-programs-other	61.1299	healthcare-human-services	healthcare-human-services/biotechnology-research-development
nuclear-medicine-residencyfellowship-programs-other	61.1299	healthcare-human-services	healthcare-human-services/physical-health
obstetrics-and-gynecology-residency-program	61.1301	education	education/teaching-training-facilitation
obstetrics-and-gynecology-residency-program	61.1301	healthcare-human-services	healthcare-human-services/physical-health
gynecologic-oncology-fellowship-program	61.1302	education	education/teaching-training-facilitation
