url	ns	type	id	code	name	description	annualMean	annualMedian	annual10th	annual25th	annual75th	annual90th	hourlyMean	hourlyMedian	matchedOnet	digital
https://onet.org.ai/Wage/DataWarehousingSpecialists	onet.org.ai	Wage	DataWarehousingSpecialists	151243	Data Warehousing Specialists		142620	135980	81630	107900	169480	209990	68.57	65.37	true	
https://onet.org.ai/Wage/ComputerSystemsAdministrators	onet.org.ai	Wage	ComputerSystemsAdministrators	151244	Network and Computer Systems Administrators		101190	96800	60320	75860	123390	150320	48.65	46.54	true	
https://onet.org.ai/Wage/SoftwareandWebDevelopersProgrammersandTesters	onet.org.ai	Wage	SoftwareandWebDevelopersProgrammersandTesters	151250	Software and Web Developers, Programmers, and Testers		135910	129320	71740	97560	165910	207830	65.34	62.17	false	
https://onet.org.ai/Wage/ComputerProgrammers	onet.org.ai	Wage	ComputerProgrammers	151251	Computer Programmers		103640	98670	52190	71860	128960	162090	49.83	47.44	true	
https://onet.org.ai/Wage/SoftwareDevelopers	onet.org.ai	Wage	SoftwareDevelopers	151252	Software Developers		144570	133080	79850	103050	169000	211450	69.5	63.98	true	
https://onet.org.ai/Wage/Testers	onet.org.ai	Wage	Testers	151253	Software Quality Assurance Analysts and Testers		110260	102610	60690	79520	131870	166960	53.01	49.33	true	
https://onet.org.ai/Wage/WebDevelopers	onet.org.ai	Wage	WebDevelopers	151254	Web Developers		98790	90930	48560	63140	124300	162870	47.5	43.72	true	
https://onet.org.ai/Wage/VideoGameDesigners	onet.org.ai	Wage	VideoGameDesigners	151255	Video Game Designers		111450	98090	47840	64990	141860	192180	53.58	47.16	true	
https://onet.org.ai/Wage/InformationTechnologyProjectManagers	onet.org.ai	Wage	InformationTechnologyProjectManagers	151299	Information Technology Project Managers		116700	108970	52650	76360	147530	176800	56.11	52.39	true	
https://onet.org.ai/Wage/MathematicalScienceOccupations	onet.org.ai	Wage	MathematicalScienceOccupations	152000	Mathematical Science Occupations		117190	104620	60000	78300	140930	180180	56.34	50.3	false	
https://onet.org.ai/Wage/Actuaries	onet.org.ai	Wage	Actuaries	152011	Actuaries		134990	125770	75240	90970	164860	206430	64.9	60.47	true	
https://onet.org.ai/Wage/Mathematicians	onet.org.ai	Wage	Mathematicians	152021	Mathematicians		122520	121680	63430	85720	153340	187660	58.91	58.5	true	
https://onet.org.ai/Wage/OperationsResearchAnalysts	onet.org.ai	Wage	OperationsResearchAnalysts	152031	Operations Research Analysts		99120	91290	53910	66910	124120	159280	47.66	43.89	true	
https://onet.org.ai/Wage/Biostatisticians	onet.org.ai	Wage	Biostatisticians	152041	Biostatisticians		112330	103300	60390	79210	137610	170700	54.01	49.66	true	
https://onet.org.ai/Wage/ClinicalDataManagers	onet.org.ai	Wage	ClinicalDataManagers	152051	Clinical Data Managers		124590	112590	63650	82630	155810	194410	59.9	54.13	true	
https://onet.org.ai/Wage/BioinformaticsTechnicians	onet.org.ai	Wage	BioinformaticsTechnicians	152099	Bioinformatics Technicians		84700	71490	40330	52440	101920	154140	40.72	34.37	true	
