url	ns	type	id	code	name	description	employment	annual_mean_wage	matched_onet
https://onet.org.ai/STEMOccupation/MaterialsScientists	onet.org.ai	STEMOccupation	MaterialsScientists	19-2032	Materials Scientists		8330	111410	true
https://onet.org.ai/STEMOccupation/IndustrialEcologists	onet.org.ai	STEMOccupation	IndustrialEcologists	19-2041	Industrial Ecologists		84930	88640	true
https://onet.org.ai/STEMOccupation/Geographers	onet.org.ai	STEMOccupation	Geographers	19-2042	Geoscientists, Except Hydrologists and Geographers		22510	98160	true
https://onet.org.ai/STEMOccupation/Hydrologists	onet.org.ai	STEMOccupation	Hydrologists	19-2043	Hydrologists		5720	98130	true
https://onet.org.ai/STEMOccupation/PrecisionAgricultureTechnicians	onet.org.ai	STEMOccupation	PrecisionAgricultureTechnicians	19-4012	Precision Agriculture Technicians		14340	49680	true
https://onet.org.ai/STEMOccupation/FoodScienceTechnicians	onet.org.ai	STEMOccupation	FoodScienceTechnicians	19-4013	Food Science Technicians		14200	54400	true
https://onet.org.ai/STEMOccupation/BiologicalTechnicians	onet.org.ai	STEMOccupation	BiologicalTechnicians	19-4021	Biological Technicians		76190	58020	true
https://onet.org.ai/STEMOccupation/ChemicalTechnicians	onet.org.ai	STEMOccupation	ChemicalTechnicians	19-4031	Chemical Technicians		55640	61300	true
https://onet.org.ai/STEMOccupation/Health	onet.org.ai	STEMOccupation	Health	19-4042	Environmental Science and Protection Technicians, Including Health		39390	56770	true
https://onet.org.ai/STEMOccupation/HydrologicTechnicians	onet.org.ai	STEMOccupation	HydrologicTechnicians	19-4043	Geological Technicians, Except Hydrologic Technicians		9710	64410	true
https://onet.org.ai/STEMOccupation/NuclearMonitoringTechnicians	onet.org.ai	STEMOccupation	NuclearMonitoringTechnicians	19-4051	Nuclear Monitoring Technicians		5990	100730	true
https://onet.org.ai/STEMOccupation/ConservationTechnicians	onet.org.ai	STEMOccupation	ConservationTechnicians	19-4071	Forest and Conservation Technicians		31080	56660	true
https://onet.org.ai/STEMOccupation/ForensicScienceTechnicians	onet.org.ai	STEMOccupation	ForensicScienceTechnicians	19-4092	Forensic Science Technicians		19450	75260	true
https://onet.org.ai/STEMOccupation/RemoteSensingTechnicians	onet.org.ai	STEMOccupation	RemoteSensingTechnicians	19-4099	Remote Sensing Technicians		71400	64640	true
https://onet.org.ai/STEMOccupation/ComputerScienceTeachersPostsecondary	onet.org.ai	STEMOccupation	ComputerScienceTeachersPostsecondary	25-1021	Computer Science Teachers, Postsecondary		36240	105830	true
https://onet.org.ai/STEMOccupation/MathematicalScienceTeachersPostsecondary	onet.org.ai	STEMOccupation	MathematicalScienceTeachersPostsecondary	25-1022	Mathematical Science Teachers, Postsecondary		48820	92880	true
https://onet.org.ai/STEMOccupation/ArchitectureTeachersPostsecondary	onet.org.ai	STEMOccupation	ArchitectureTeachersPostsecondary	25-1031	Architecture Teachers, Postsecondary		9120	110360	true
https://onet.org.ai/STEMOccupation/EngineeringTeachersPostsecondary	onet.org.ai	STEMOccupation	EngineeringTeachersPostsecondary	25-1032	Engineering Teachers, Postsecondary		39910	119340	true
https://onet.org.ai/STEMOccupation/AgriculturalSciencesTeachersPostsecondary	onet.org.ai	STEMOccupation	AgriculturalSciencesTeachersPostsecondary	25-1041	Agricultural Sciences Teachers, Postsecondary		8700	97790	true
https://onet.org.ai/STEMOccupation/BiologicalScienceTeachersPostsecondary	onet.org.ai	STEMOccupation	BiologicalScienceTeachersPostsecondary	25-1042	Biological Science Teachers, Postsecondary		53250	101340	true
https://onet.org.ai/STEMOccupation/ConservationScienceTeachersPostsecondary	onet.org.ai	STEMOccupation	ConservationScienceTeachersPostsecondary	25-1043	Forestry and Conservation Science Teachers, Postsecondary		1310	103780	true
https://onet.org.ai/STEMOccupation/SpaceSciencesTeachersPostsecondary	onet.org.ai	STEMOccupation	SpaceSciencesTeachersPostsecondary	25-1051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary		11480	112950	true
https://onet.org.ai/STEMOccupation/ChemistryTeachersPostsecondary	onet.org.ai	STEMOccupation	ChemistryTeachersPostsecondary	25-1052	Chemistry Teachers, Postsecondary		20390	103030	true
https://onet.org.ai/STEMOccupation/EnvironmentalScienceTeachersPostsecondary	onet.org.ai	STEMOccupation	EnvironmentalScienceTeachersPostsecondary	25-1053	Environmental Science Teachers, Postsecondary		7130	100360	true
https://onet.org.ai/STEMOccupation/PhysicsTeachersPostsecondary	onet.org.ai	STEMOccupation	PhysicsTeachersPostsecondary	25-1054	Physics Teachers, Postsecondary		13590	105460	true
https://onet.org.ai/STEMOccupation/Assessors	onet.org.ai	STEMOccupation	Assessors	41-4011	Solar Sales Representatives and Assessors		293930	114520	true
https://onet.org.ai/STEMOccupation/SalesEngineers	onet.org.ai	STEMOccupation	SalesEngineers	41-9031	Sales Engineers		56690	130410	true
