url	ns	type	id	code	name	description	digital
https://occupations.org.ai/BusinessManagersOfArtistsPerformers	occupations.org.ai	Occupation	BusinessManagersOfArtistsPerformers	13-1011.00	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes	0.85
https://occupations.org.ai/Athletes	occupations.org.ai	Occupation	Athletes	13-1011.00	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes	0.85
https://occupations.org.ai/BuyersAgentsFarmProducts	occupations.org.ai	Occupation	BuyersAgentsFarmProducts	13-1021.00	Buyers and Purchasing Agents, Farm Products	Buyers and Purchasing Agents, Farm Products	0.85
https://occupations.org.ai/PurchasingAgentsFarmProducts	occupations.org.ai	Occupation	PurchasingAgentsFarmProducts	13-1021.00	Buyers and Purchasing Agents, Farm Products	Buyers and Purchasing Agents, Farm Products	0.85
https://occupations.org.ai/WholesaleBuyers	occupations.org.ai	Occupation	WholesaleBuyers	13-1022.00	Wholesale and Retail Buyers, Except Farm Products	Wholesale and Retail Buyers, Except Farm Products	0.85
https://occupations.org.ai/RetailBuyers	occupations.org.ai	Occupation	RetailBuyers	13-1022.00	Wholesale and Retail Buyers, Except Farm Products	Wholesale and Retail Buyers, Except Farm Products	0.85
https://occupations.org.ai/FarmProducts	occupations.org.ai	Occupation	FarmProducts	13-1022.00	Wholesale and Retail Buyers, Except Farm Products	Wholesale and Retail Buyers, Except Farm Products	0.85
https://occupations.org.ai/PurchasingAgents	occupations.org.ai	Occupation	PurchasingAgents	13-1023.00	Purchasing Agents, Except Wholesale, Retail, and Farm Products	Purchasing Agents, Except Wholesale, Retail, and Farm Products	0.85
https://occupations.org.ai/WholesaleProducts	occupations.org.ai	Occupation	WholesaleProducts	13-1023.00	Purchasing Agents, Except Wholesale, Retail, and Farm Products	Purchasing Agents, Except Wholesale, Retail, and Farm Products	0.85
https://occupations.org.ai/RetailProducts	occupations.org.ai	Occupation	RetailProducts	13-1023.00	Purchasing Agents, Except Wholesale, Retail, and Farm Products	Purchasing Agents, Except Wholesale, Retail, and Farm Products	0.85
https://occupations.org.ai/FarmProducts	occupations.org.ai	Occupation	FarmProducts	13-1023.00	Purchasing Agents, Except Wholesale, Retail, and Farm Products	Purchasing Agents, Except Wholesale, Retail, and Farm Products	0.85
https://occupations.org.ai/ClaimsAdjustersExaminers	occupations.org.ai	Occupation	ClaimsAdjustersExaminers	13-1031.00	Claims Adjusters, Examiners, and Investigators	Claims Adjusters, Examiners, and Investigators	0.85
https://occupations.org.ai/Investigators	occupations.org.ai	Occupation	Investigators	13-1031.00	Claims Adjusters, Examiners, and Investigators	Claims Adjusters, Examiners, and Investigators	0.85
https://occupations.org.ai/InsuranceAppraisersAutoDamage	occupations.org.ai	Occupation	InsuranceAppraisersAutoDamage	13-1032.00	Insurance Appraisers, Auto Damage	Insurance Appraisers, Auto Damage	0.85
https://occupations.org.ai/ComplianceOfficers	occupations.org.ai	Occupation	ComplianceOfficers	13-1041.00	Compliance Officers	Compliance Officers	0.85
https://occupations.org.ai/EnvironmentalComplianceInspectors	occupations.org.ai	Occupation	EnvironmentalComplianceInspectors	13-1041.01	Environmental Compliance Inspectors	Environmental Compliance Inspectors	0.85
https://occupations.org.ai/EqualOpportunityRepresentatives	occupations.org.ai	Occupation	EqualOpportunityRepresentatives	13-1041.03	Equal Opportunity Representatives and Officers	Equal Opportunity Representatives and Officers	0.85
https://occupations.org.ai/Officers	occupations.org.ai	Occupation	Officers	13-1041.03	Equal Opportunity Representatives and Officers	Equal Opportunity Representatives and Officers	0.85
https://occupations.org.ai/GovernmentPropertyInspectors	occupations.org.ai	Occupation	GovernmentPropertyInspectors	13-1041.04	Government Property Inspectors and Investigators	Government Property Inspectors and Investigators	0.85
https://occupations.org.ai/Investigators	occupations.org.ai	Occupation	Investigators	13-1041.04	Government Property Inspectors and Investigators	Government Property Inspectors and Investigators	0.85
https://occupations.org.ai/Coroners	occupations.org.ai	Occupation	Coroners	13-1041.06	Coroners	Coroners	0.85
https://occupations.org.ai/RegulatoryAffairsSpecialists	occupations.org.ai	Occupation	RegulatoryAffairsSpecialists	13-1041.07	Regulatory Affairs Specialists	Regulatory Affairs Specialists	0.85
