url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy	domainIncludes	rangeIncludes
https://schema.org.ai/Property/Schemasizegroup	schema.org.ai	Property	Schema:sizegroup	schema:sizeGroup	schema:sizeGroup		sizeGroup	The size group (also known as "size type") for a product's size. Size groups are common in the fashion industry to define size segments and suggested audiences for wearable products. Multiple values can be combined, for example "men's big and tall", "petite maternity" or "regular".			schema:SizeSpecification	schema:SizeGroupEnumeration,schema:Text
https://schema.org.ai/Property/Schemaminvalue	schema.org.ai	Property	Schema:minvalue	schema:minValue	schema:minValue		minValue	The lower value of some characteristic or property.			schema:PropertyValueSpecification,schema:QuantitativeValue,schema:PropertyValue,schema:MonetaryAmount	schema:Number
https://schema.org.ai/Property/Schemaloanpaymentamount	schema.org.ai	Property	Schema:loanpaymentamount	schema:loanPaymentAmount	schema:loanPaymentAmount		loanPaymentAmount	The amount of money to pay in a single payment.			schema:RepaymentSpecification	schema:MonetaryAmount
https://schema.org.ai/Property/Schemamechanismofaction	schema.org.ai	Property	Schema:mechanismofaction	schema:mechanismOfAction	schema:mechanismOfAction		mechanismOfAction	The specific biochemical interaction through which this drug or supplement produces its pharmacological effect.			schema:DietarySupplement,schema:Drug	schema:Text
https://schema.org.ai/Property/Schemaestimatedflightduration	schema.org.ai	Property	Schema:estimatedflightduration	schema:estimatedFlightDuration	schema:estimatedFlightDuration		estimatedFlightDuration	The estimated time the flight will take.			schema:Flight	schema:Text,schema:Duration
https://schema.org.ai/Property/Schemasubtest	schema.org.ai	Property	Schema:subtest	schema:subTest	schema:subTest		subTest	A component test of the panel.			schema:MedicalTestPanel	schema:MedicalTest
https://schema.org.ai/Property/Schemawheelbase	schema.org.ai	Property	Schema:wheelbase	schema:wheelbase	schema:wheelbase		wheelbase	The distance between the centers of the front and rear wheels.\n\nTypical unit code(s): CMT for centimeters, MTR for meters, INH for inches, FOT for foot/feet.			schema:Vehicle	schema:QuantitativeValue
https://schema.org.ai/Property/Schemareview	schema.org.ai	Property	Schema:review	schema:review	schema:review		review	A review of the item.			schema:Organization,schema:Brand,schema:Service,schema:Offer,schema:Event,schema:Place,schema:Product,schema:CreativeWork	schema:Review
https://schema.org.ai/Property/Schemadiversitypolicy	schema.org.ai	Property	Schema:diversitypolicy	schema:diversityPolicy	schema:diversityPolicy		diversityPolicy	Statement on diversity policy by an [[Organization]] e.g. a [[NewsMediaOrganization]]. For a [[NewsMediaOrganization]], a statement describing the newsroom’s diversity policy on both staffing and sources, typically providing staffing data.			schema:NewsMediaOrganization,schema:Organization	schema:CreativeWork,schema:URL
https://schema.org.ai/Property/Schemastage	schema.org.ai	Property	Schema:stage	schema:stage	schema:stage		stage	The stage of the condition, if applicable.			schema:MedicalCondition	schema:MedicalConditionStage
https://schema.org.ai/Property/Schematimeofday	schema.org.ai	Property	Schema:timeofday	schema:timeOfDay	schema:timeOfDay		timeOfDay	The time of day the program normally runs. For example, "evenings".			schema:EducationalOccupationalProgram	schema:Text
