child	childCode	parent	parentCode	level
OtherFurnitureN.e.c.	3911623	InstitutionalAndOtherFurnitureN.e.c.	391162	Detail→Subclass
BlindsShadesAndCurtainFixtures	3912111	BlindsShadesAndCurtainFixtures	391211	Detail→Subclass
PortableResidentialElectricLampsAndLampshades	3913111	ResidentialElectricLampsAndLightingFixturesIncludingLampshades	391311	Detail→Subclass
NonPortableResidentialElectricLightingFixtures	3913112	ResidentialElectricLampsAndLightingFixturesIncludingLampshades	391311	Detail→Subclass
PartsOfResidentialElectricLampsAndLightingFixturesExceptLampshadesBulbsAndTubes	3913113	ResidentialElectricLampsAndLightingFixturesIncludingLampshades	391311	Detail→Subclass
CommercialAndInstitutionalElectricLightingFixtures	3913121	CommercialInstitutionalAndIndustrialLampsAndLightingFixtures	391312	Detail→Subclass
IndustrialElectricLightingFixtures	3913122	CommercialInstitutionalAndIndustrialLampsAndLightingFixtures	391312	Detail→Subclass
PartsOfCommercialInstitutionalAndIndustrialElectricLightingFixtures	3913123	CommercialInstitutionalAndIndustrialLampsAndLightingFixtures	391312	Detail→Subclass
OutdoorLightingEquipment	3913131	OutdoorLightingEquipmentAndLightingEquipmentN.e.c.	391313	Detail→Subclass
HandPortableAndOtherLightingEquipmentN.e.c.	3913132	OutdoorLightingEquipmentAndLightingEquipmentN.e.c.	391313	Detail→Subclass
PartsForOutdoorLightingAndLightingEquipmentN.e.c.	3913133	OutdoorLightingEquipmentAndLightingEquipmentN.e.c.	391313	Detail→Subclass
CompactPassengerCars	4111111	CompactPassengerCarsAndChassis	411111	Detail→Subclass
ChassisForCompactPassengerCars	4111112	CompactPassengerCarsAndChassis	411111	Detail→Subclass
MidSizePassengerCars	4111121	MidSizePassengerCarsAndChassis	411112	Detail→Subclass
ChassisForMidSizePassengerCars	4111122	MidSizePassengerCarsAndChassis	411112	Detail→Subclass
FullSizePassengerCars	4111131	FullSizePassengerCarsAndChassis	411113	Detail→Subclass
ChassisForFullSizePassengerCars	4111132	FullSizePassengerCarsAndChassis	411113	Detail→Subclass
VansSportUtilityVehiclesSuvsAndCrossoversWithoutElectricMotor	4111211	VansSportUtilityVehiclesSuvsAndCrossoversAndTheirChassisWithoutElectricMotor	411121	Detail→Subclass
ChassisForVansSportUtilityVehiclesSuvsAndCrossovers	4111212	VansSportUtilityVehiclesSuvsAndCrossoversAndTheirChassisWithoutElectricMotor	411121	Detail→Subclass
LightDutyTrucksWithoutElectricMotor	4111221	LightDutyTrucksAndChassisForLightDutyTrucksAndBusesWithoutElectricMotor	411122	Detail→Subclass
ChassisForLightDutyTrucksAndBuses	4111222	LightDutyTrucksAndChassisForLightDutyTrucksAndBusesWithoutElectricMotor	411122	Detail→Subclass
FullElectricMotorPassengerCars	4111311	FullElectricMotorPassengerCars	411131	Detail→Subclass
PlugInHybridPassengerCarsWithGasolineEngine	4111321	PlugInHybridPassengerCars	411132	Detail→Subclass
PlugInHybridPassengerCarsWithDieselEngine	4111322	PlugInHybridPassengerCars	411132	Detail→Subclass
NonPlugInHybridPassengerCarsWithGasolineEngine	4111331	NonPlugInHybridPassengerCars	411133	Detail→Subclass
NonPlugInHybridPassengerCarsWithDieselEngine	4111332	NonPlugInHybridPassengerCars	411133	Detail→Subclass
FullElectricMotorLightTruckVansAndSportUtilityVehiclesSuvs	4111411	FullElectricMotorLightTruckVansAndSportUtilityVehiclesSuvs	411141	Detail→Subclass
PlugInHybridLightTruckVansAndSportUtilityVehiclesSuvsWithGasolineEngine	4111421	PlugInHybridLightTruckVansAndSportUtilityVehiclesSuvs	411142	Detail→Subclass
PlugInHybridLightTruckVansAndSportUtilityVehiclesSuvsWithDieselEngine	4111422	PlugInHybridLightTruckVansAndSportUtilityVehiclesSuvs	411142	Detail→Subclass
NonPlugInHybridLightTruckVansAndSportUtilityVehiclesSuvsWithGasolineEngine	4111431	NonPlugInHybridLightTruckVansAndSportUtilityVehiclesSuvs	411143	Detail→Subclass
NonPlugInHybridLightTruckVansAndSportUtilityVehiclesSuvsWithDieselEngine	4111432	NonPlugInHybridLightTruckVansAndSportUtilityVehiclesSuvs	411143	Detail→Subclass
MediumDutyTrucks	4121111	MediumDutyTrucksAndChassisForMediumDutyTrucksAndBuses	412111	Detail→Subclass
ChassisForMediumDutyTrucksAndBuses	4121112	MediumDutyTrucksAndChassisForMediumDutyTrucksAndBuses	412111	Detail→Subclass
HeavyDutyTrucks	4121121	HeavyDutyTrucksAndChassisForHeavyDutyTrucksAndBuses	412112	Detail→Subclass
ChassisForHeavyDutyTrucksAndBuses	4121122	HeavyDutyTrucksAndChassisForHeavyDutyTrucksAndBuses	412112	Detail→Subclass
Buses	4121211	Buses	412121	Detail→Subclass
SpecialPurposeVehicles	4121221	SpecialPurposeVehicles	412122	Detail→Subclass
TruckTrailersWithHighAxleRating	4121311	TruckTrailers	412131	Detail→Subclass
TruckTrailersWithLowAxleRating	4121312	TruckTrailers	412131	Detail→Subclass
OtherTrailers	4121321	OtherTrailers	412132	Detail→Subclass
MotorHomes	4122111	MotorHomes	412211	Detail→Subclass
TravelTrailers	4122121	TravelTrailersCampingTrailersAndTheirParts	412212	Detail→Subclass
CampingTrailers	4122122	TravelTrailersCampingTrailersAndTheirParts	412212	Detail→Subclass
PartsOfTravelTrailersCampingTrailersAndOtherTrailers	4122123	TravelTrailersCampingTrailersAndTheirParts	412212	Detail→Subclass
BusBodiesAndTruckCabs	4123111	BusBodiesVanBodiesAndTruckCabs	412311	Detail→Subclass
VanBodies	4123112	BusBodiesVanBodiesAndTruckCabs	412311	Detail→Subclass
OtherAutomobileAndTruckBodies	4123121	OtherAutomobileAndTruckBodies	412312	Detail→Subclass
NewGasolineEnginesForMotorVehicles	4131111	MotorVehicleGasolineEnginesAndEngineParts	413111	Detail→Subclass
RebuiltGasolineEnginesForMotorVehiclesAndParts	4131112	MotorVehicleGasolineEnginesAndEngineParts	413111	Detail→Subclass
CarburetorsEnginePistonsAndIntakeAndExhaustValves	4131113	MotorVehicleGasolineEnginesAndEngineParts	413111	Detail→Subclass
OtherMotorVehicleGasolineEngineParts	4131114	MotorVehicleGasolineEnginesAndEngineParts	413111	Detail→Subclass
DieselEnginesForMotorVehicles	4131211	MotorVehicleDieselEnginesAndEngineParts	413121	Detail→Subclass
PartsOfDieselEnginesForMotorVehicles	4131212	MotorVehicleDieselEnginesAndEngineParts	413121	Detail→Subclass
VehicularLightingEquipment	4132111	VehicularLightingEquipment	413211	Detail→Subclass
IgnitionHarnessAndCableSets	4132121	OtherMotorVehicleElectricalAndElectronicEquipment	413212	Detail→Subclass
NewAlternatorsGeneratorsAndRegulatorsForInternalCombustionEngines	4132122	OtherMotorVehicleElectricalAndElectronicEquipment	413212	Detail→Subclass
RebuiltAlternatorsGeneratorsAndRegulatorsForInternalCombustionEngines	4132123	OtherMotorVehicleElectricalAndElectronicEquipment	413212	Detail→Subclass
StarterMotors	4132124	OtherMotorVehicleElectricalAndElectronicEquipment	413212	Detail→Subclass
EngineElectricalEquipmentAndParts	4132125	OtherMotorVehicleElectricalAndElectronicEquipment	413212	Detail→Subclass
OtherMotorVehicleElectricalAndElectronicEquipmentN.e.c.	4132126	OtherMotorVehicleElectricalAndElectronicEquipment	413212	Detail→Subclass
MotorVehicleInstrumentsAndParts	4132131	MotorVehicleInstrumentsAndParts	413213	Detail→Subclass
FabricatedPlasticProductsForMotorVehiclesExceptFoamAndReinforcedPlastics	4133111	MotorVehiclePlasticParts	413311	Detail→Subclass
ReinforcedPlasticOrFibreglassPartsForMotorVehicles	4133112	MotorVehiclePlasticParts	413311	Detail→Subclass
AutomotiveGlass	4133221	AutomotiveGlassAndAutomotiveMirrors	413322	Detail→Subclass
AutomotiveMirrors	4133222	AutomotiveGlassAndAutomotiveMirrors	413322	Detail→Subclass
MotorVehicleSeats	4134111	MotorVehicleSeats	413411	Detail→Subclass
PartsOfMotorVehicleSeats	4134121	PartsOfMotorVehicleSeats	413412	Detail→Subclass
SeatOrSafetyBeltsForMotorVehicles	4134131	MotorVehicleInteriorTrim	413413	Detail→Subclass
MotorVehicleInteriorTrimExceptSeatBelts	4134132	MotorVehicleInteriorTrim	413413	Detail→Subclass
MotorVehicleMetalStampings	4135111	MotorVehicleMetalStampings	413511	Detail→Subclass
NewMotorVehicleSteeringAndSuspensionComponents	4135211	MotorVehicleSteeringAndSuspensionComponents	413521	Detail→Subclass
RebuiltMotorVehicleSteeringAndSuspensionComponents	4135212	MotorVehicleSteeringAndSuspensionComponents	413521	Detail→Subclass
NewMotorVehicleTransmissionAndDriveTrainComponents	4135311	MotorVehicleTransmissionAndDriveTrainComponents	413531	Detail→Subclass
RebuiltMotorVehicleTransmissionAndDriveTrainComponents	4135312	MotorVehicleTransmissionAndDriveTrainComponents	413531	Detail→Subclass
NewMotorVehicleBrakeParts	4135411	MotorVehicleBrakesAndBrakeSystems	413541	Detail→Subclass
RebuiltMotorVehicleBrakeParts	4135412	MotorVehicleBrakesAndBrakeSystems	413541	Detail→Subclass
MotorVehicleWheels	4135511	MotorVehicleWheels	413551	Detail→Subclass
MotorVehicleExhaustSystemParts	4135521	MotorVehicleExhaustSystemParts	413552	Detail→Subclass
MotorVehicleAirConditioningSystems	4135531	MotorVehicleAirConditioningSystemsAndParts	413553	Detail→Subclass
AutomotiveAirConditioningCompressors	4135532	MotorVehicleAirConditioningSystemsAndParts	413553	Detail→Subclass
PartsOfMotorVehicleAirConditioningSystemsExceptCompressorsAndFilters	4135533	MotorVehicleAirConditioningSystemsAndParts	413553	Detail→Subclass
MotorVehicleHardware	4135541	MotorVehicleHardware	413554	Detail→Subclass
PrecisionTurnedAutomotiveProducts	4135551	PrecisionTurnedAutomotiveProducts	413555	Detail→Subclass
FiltersForInternalCombustionEnginesAndMotorVehicles	4135561	OtherMotorVehiclePartsN.e.c.	413556	Detail→Subclass
AirBagAssembliesAndParts	4135562	OtherMotorVehiclePartsN.e.c.	413556	Detail→Subclass
OtherMiscellaneousMotorVehiclePartsN.e.c.	4135563	OtherMotorVehiclePartsN.e.c.	413556	Detail→Subclass
MilitaryAircraft	4211111	Aircraft	421111	Detail→Subclass
CivilianAircraft	4211112	Aircraft	421111	Detail→Subclass
UnmannedAircraftDronesForNonRecreationalPurposesExceptModelAircraft	4211113	Aircraft	421111	Detail→Subclass
MilitaryAircraftEngines	4311111	AircraftEngines	431111	Detail→Subclass
CivilianAircraftEngines	4311112	AircraftEngines	431111	Detail→Subclass
AircraftPropellersAndHelicopterRotors	4311211	AircraftEnginePartsAndAccessoriesIncludingPropellersAndRotors	431121	Detail→Subclass
AircraftEnginePartsAndAccessoriesExceptPropellersAndRotors	4311212	AircraftEnginePartsAndAccessoriesIncludingPropellersAndRotors	431121	Detail→Subclass
SeatsForAircraft	4311221	OtherAerospacePartsGuidedMissilesAndSpaceVehicles	431122	Detail→Subclass
AircraftPartsN.e.c.	4311222	OtherAerospacePartsGuidedMissilesAndSpaceVehicles	431122	Detail→Subclass
GuidedMissilesAndRocketsIncludingSpaceVehicles	4311223	OtherAerospacePartsGuidedMissilesAndSpaceVehicles	431122	Detail→Subclass
