apiId	actionId
SalescaptainApi	AddClientJobberSalescaptain
IdealityApi	AddClientNote
UpcoachApi	AddClientProgram
ProworkflowApi	AddClientProject
LearnifierApi	AddClientUserGroupMember
CloudboostApi	AddCloudobject
UsebaseApi	AddCodeCollection
FollowUpBossApi	AddCollaborators
WayWeDoApi	AddCollaborators
SidedrawerApi	AddCollaboratorSidedrawer
DudaApi	AddCollectionRow
AppstructApi	AddColumn
RetableApi	AddColumn
NotionApi	AddComment
FrontApi	AddComment
ZohoDeskApi	AddComment
Respond.ioApi	AddComment
KintoneApi	AddComment
Nocrm.ioApi	AddComment
LiondeskApi	AddComment
SocialpilotApi	AddComment
FreedcampApi	AddComment
BusinessmapApi	AddComment
BusinessmapApi	AddComment
TallyfyApi	AddComment
AtarimApi	AddComment
PicflowApi	AddComment
WhaleApi	AddComment
RecognizeApi	AddComment
TeamtracksApi	AddComment
JootoApi	AddComment
SwiftenterpriseApi	AddComment
SwiftkanbanApi	AddComment
NimbleNimbleworkApi	AddComment
BoardcrmApi	AddComment
NovatimeApi	AddComment
KrozuApi	AddComment
ProductplanApi	AddCommentBar
BugshotApi	AddCommentBug
UnguessApi	AddCommentBug
WorkableApi	AddCommentCandidate
ShophireApi	AddCommentCandidate
KaitenApi	AddCommentCardCardId
FlowfastApi	AddCommentCardCardId
PlanviewAgileplaceApi	AddCommentCardTask
DistrobirdApi	AddCommentConversationThread
ActivecollabApi	AddCommentDiscussion
BoxApi	AddCommentFile
JiraSoftwareCloudApi	AddCommentIssue
OnesApi	AddCommentIssue
JoyntApi	AddCommentIssue
ZenkitApi	AddCommentItem
LiquidplannerClassicApi	AddCommentItem
ServicetradeApi	AddCommentJob
YuccanApi	AddCommentLead
ServicetradeApi	AddCommentLocation
IntellinoteApi	AddCommentNote
SupahubApi	AddCommentPost
TodoistApi	AddCommentProject
ScoroApi	AddCommentProject
AirtableApi	AddCommentRecord
BlueApi	AddCommentRecord
WorktualContactCentreApi	AddCommentsTicket
TodoistApi	AddCommentTask
ScoroApi	AddCommentTask
ActivecollabApi	AddCommentTask
BugherdApi	AddCommentTask
HubfloApi	AddCommentTask
JostleApi	AddCommentTask
IntellinoteApi	AddCommentTask
ExhibitdayApi	AddCommentTask
TeamcampApi	AddCommentTask
JoyntApi	AddCommentTask
BuyerassistApi	AddCommentTask
ZendeskApi	AddCommentTicket
IrisCrmApi	AddCommentTicket
DaktelaApi	AddCommentTicket
HippoApi	AddCommentTicket
TapfiliateApi	AddCommissionConversion
CommonRoomApi	AddCommonRoomContactSegment
LearningsuiteApi	AddCommunityBadgesUser
RecruitCrmApi	AddCompany
