id	code	name	description	parent
NaturalGasDeliveriesToCommercialAndInstitutionalConsumersEnrolledWithThirdPartyMarketers	1471122	Natural gas deliveries to commercial and institutional consumers enrolled with third party marketers	Natural gas delivered to commercial and institutional consumers enrolled with third party marketers.	147112
NaturalGasDeliveriesToResidentialConsumersEnrolledWithThirdPartyMarketers	1471123	Natural gas deliveries to residential consumers enrolled with third party marketers	Natural gas delivered to residential consumers enrolled with third party marketers.	147112
NaturalGasDeliveriesToIndustrialConsumersHavingPurchasedDirectlyFromSuppliers	1471131	Natural gas deliveries to industrial consumers having purchased directly from suppliers	Natural gas delivered to industrial consumers who have purchased their own natural gas directly from the suppliers.	147113
NaturalGasDeliveriesToCommercialAndInstitutionalConsumersHavingPurchasedDirectlyFromSuppliers	1471132	Natural gas deliveries to commercial and institutional consumers having purchased directly from suppliers	Natural gas delivered to commercial and institutional consumers who have purchased their own natural gas directly from the suppliers.	147113
NaturalGasDeliveriesToResidentialConsumersHavingPurchasedDirectlyFromSuppliers	1471133	Natural gas deliveries to residential consumers having purchased directly from suppliers	Natural gas delivered to residential consumers who have purchased their own natural gas directly from the suppliers.	147113
NaturalGasDeliveriesToTransmissionPipelines	1471141	Natural gas deliveries to transmission pipelines	Natural gas delivered to transmission pipelines.	147114
NaturalGasDeliveriesToStorageFacilities	1471142	Natural gas deliveries to storage facilities	Natural gas delivered to storage facilities.	147114
NaturalGasDeliveriesToOtherGasDistributors	1471143	Natural gas deliveries to other gas distributors	Natural gas delivered to other gas distributors.	147114
IronOresAndConcentrates	1511111	Iron ores and concentrates	Iron ores and concentrates.	151111
CopperOresAndConcentrates	1521111	Copper ores and concentrates	Copper ores and concentrates.	152111
NickelOresAndConcentrates	1531111	Nickel ores and concentrates	Nickel ores and concentrates.	153111
RadioactiveOresAndConcentrates	1541111	Radioactive ores and concentrates	Radioactive ores and concentrates.	154111
GoldOresConcentratesAndMillBullion	1551111	Gold ores, concentrates and mill bullion	Gold ores, concentrates and mill bullion.	155111
SilverOresConcentratesAndMillBullion	1551121	Silver ores, concentrates and mill bullion	Silver ores, concentrates and mill bullion.	155112
PlatinumGroupMetalOresAndConcentrates	1551131	Platinum group metal ores and concentrates	Platinum group metal ores and concentrates.	155113
BauxiteAndNaturalAlumina	1552111	Bauxite and natural alumina	Bauxite and natural alumina.	155211
RefinedAluminumOxide	1552121	Refined aluminum oxide	Refined aluminum oxide.	155212
LeadOresAndConcentrates	1552211	Lead ores and concentrates	Lead ores and concentrates.	155221
ZincOresAndConcentrates	1552221	Zinc ores and concentrates	Zinc ores and concentrates.	155222
FerroAlloyOresAndConcentrates	1552311	Ferro-alloy ores and concentrates	Ferro-alloy ores and concentrates.	155231
CobaltOresAndConcentrates	1552321	Cobalt ores and concentrates	Cobalt ores and concentrates.	155232
OtherMiscellaneousMetalOresAndConcentratesExceptCobaltN.e.c.	1552322	Other miscellaneous metal ores and concentrates (except cobalt), n.e.c.	Other miscellaneous metal ores and concentrates, except cobalt, n.e.c.	155232
WasteAndScrapOfIronAndSteel	1561111	Waste and scrap of iron and steel	Waste and scrap of iron and steel.	156111
WasteAndScrapOfAluminumAndAluminumAlloys	1561211	Waste and scrap of aluminum and aluminum alloys	Waste and scrap of aluminum and aluminum alloys.	156121
WasteAndScrapOfCopperAndCopperAlloys	1561221	Waste and scrap of copper and copper alloys	Waste and scrap of copper and copper alloys.	156122
WasteAndScrapOfGoldSilverAndPlatinumGroupMetalsAndTheirAlloys	1561222	Waste and scrap of gold, silver, and platinum group metals, and their alloys	Waste and scrap of gold, silver, and platinum group metals, and their alloys.	156122
WasteAndScrapOfOtherNonFerrousMetalsAndOtherNonFerrousMetalBaseAlloys	1561223	Waste and scrap of other non-ferrous metals and other non-ferrous metal-base alloys	Waste and scrap of other non-ferrous metals and other non-ferrous metal-base alloys.	156122
SoftwoodSawdustExceptAgglomerated	1571111	Softwood sawdust (except agglomerated)	Softwood sawdust, except agglomerated.	157111
HardwoodSawdustExceptAgglomerated	1571112	Hardwood sawdust (except agglomerated)	Hardwood sawdust, except agglomerated.	157111
SoftwoodShavings	1571113	Softwood shavings	Softwood shavings.	157111
HardwoodShavings	1571114	Hardwood shavings	Hardwood shavings.	157111
WoodByProductsIncludingWoodWoolAndWoodFlourExceptFuelProductsSawdustAndShavings	1571121	Wood by-products including wood wool and wood flour (except fuel products, sawdust and shavings)	Wood by-products including wood wool and wood flour, except fuel products, sawdust and shavings.	157112
WasteAndScrapOfWoodExceptByProducts	1571122	Waste and scrap of wood (except by-products)	Waste and scrap of wood, except by-products.	157112
WasteAndScrapOfPaperAndPaperboard	1571211	Waste and scrap of paper and paperboard	Waste and scrap of paper and paperboard.	157121
HighDensityPolyethyleneHdpeWasteAndScrap	1581121	High density polyethylene (HDPE) waste and scrap	High density polyethylene (HDPE) waste and scrap.	158112
LowDensityPolyethyleneLdpeWasteAndScrap	1581122	Low density polyethylene (LDPE) waste and scrap	Low density polyethylene (LDPE) waste and scrap.	158112
PolystyreneWasteAndScrap	1581131	Polystyrene waste and scrap	Polystyrene waste and scrap.	158113
PolyvinylChlorideWasteAndScrap	1581132	Polyvinyl chloride waste and scrap	Polyvinyl chloride waste and scrap.	158113
PolypropyleneWasteAndScrap	1581133	Polypropylene waste and scrap	Polypropylene waste and scrap.	158113
AcrylonitrileButadieneStyreneAbsWasteAndScrap	1581134	Acrylonitrile-Butadiene-Styrene (ABS) waste and scrap	Acrylonitrile-Butadiene-Styrene (ABS) waste and scrap.	158113
PolyethyleneTerephthalatePetWasteAndScrap	1581135	Polyethylene terephthalate (PET) waste and scrap	Polyethylene terephthalate (PET) waste and scrap.	158113
PolyamidesNylonWasteAndScrap	1581136	Polyamides (nylon) waste and scrap	Polyamides (nylon) waste and scrap.	158113
PolyurethanePuWasteAndScraps	1581137	Polyurethane (PU) waste and scraps	Polyurethane (PU) waste and scraps.	158113
OtherNonCompostableThermoplasticResinWasteAndScrapN.e.c.	1581139	Other non-compostable thermoplastic resin waste and scrap n.e.c.	Other non-compostable thermoplastic resin waste and scrap n.e.c.	158113
CompostableAndBiodegradableThermoplasticWasteAndScrap	1581141	Compostable and biodegradable thermoplastic waste and scrap	Compostable and biodegradable thermoplastic waste and scrap.	158114
CompostableAndBiodegradableThermosetPlasticWasteAndScrap	1581142	Compostable and biodegradable thermoset plastic waste and scrap	Compostable and biodegradable thermoset plastic waste and scrap.	158114
WasteAndScrapOfOtherThermosetPlasticsAndOtherPlasticsN.e.c.	1581151	Waste and scrap of other thermoset plastics and other plastics n.e.c.	Waste and scrap of other thermoset plastics and other plastics n.e.c.	158115
WasteAndScrapOfRubber	1581161	Waste and scrap of rubber	Waste and scrap of rubber.	158116
WasteAndScrapOfGlass	1591111	Waste and scrap of glass	Waste and scrap of glass.	159111
Potash	1611111	Potash	Potash.	161111
RoughDimensionStone	1621111	Rough dimension stone	Rough dimension stone.	162111
CrushedStone	1621121	Crushed stone	Crushed stone.	162112
ConstructionSandAndGravel	1621211	Construction sand and gravel	Sand and gravel that has not been further processed than crushing, washing or screening.	162121
IndustrialSand	1621221	Industrial sand	Industrial sand.	162122
ClayAndRefractoryMinerals	1621231	Clay and refractory minerals	Clay, and refractory minerals.	162123
UncutDiamonds	1631111	Uncut diamonds	Uncut diamonds.	163111
IndustrialDiamonds	1631112	Industrial diamonds	Industrial diamonds.	163111
Gypsum	1631211	Gypsum	Gypsum.	163121
Sulphur	1631221	Sulphur	Sulphur.	163122
PhosphateRock	1631231	Phosphate rock	Phosphate rock.	163123
RockSalt	1631241	Rock salt	Rock salt.	163124
Quartz	1631251	Quartz	Quartz.	163125
Peat	1631252	Peat	Peat.	163125
