url	ns	type	id	code	name	description	soc_code	education_program_id	cip_code	career_cluster_id
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-other	14.9999	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-design	15.1502	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	nanotechnology	15.1601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	assistiveaugmentative-technology-and-rehabilitation-engineering	51.2312	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3012	electrical-electronic-and-communications-engineering-technologytechnician	15.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3012	integrated-circuit-design-technologytechnician	15.0306	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3012	electromechanicalelectromechanical-engineering-technologytechnician	15.0403	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3012	cadcadd-drafting-andor-design-technologytechnician	15.1302	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3012	electricalelectronics-drafting-and-electricalelectronics-cadcadd	15.1305	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	aeronauticalaerospace-engineering-technologytechnician	15.0801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	automotive-engineering-technologytechnician	15.0803	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	mechanicalmechanical-engineering-technologytechnician	15.0805	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	drafting-and-design-technologytechnician-general	15.1301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	cadcadd-drafting-andor-design-technologytechnician	15.1302	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	mechanical-drafting-and-mechanical-drafting-cadcadd	15.1306	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3013	3-d-modeling-and-design-technologytechnician	15.1307	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3019	surveying-technologysurveying	15.1102	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3019	drafting-and-design-technologytechnician-general	15.1301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3019	cadcadd-drafting-andor-design-technologytechnician	15.1302	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3019	3-d-modeling-and-design-technologytechnician	15.1307	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3019	draftingdesign-engineering-technologiestechnicians-other	15.1399	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3021	astronautical-engineering	14.0202	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3021	engineering-technologiestechnicians-general	15.0000	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3021	electrical-electronic-and-communications-engineering-technologytechnician	15.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3021	aeronauticalaerospace-engineering-technologytechnician	15.0801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3021	aerospace-ground-equipment-technology	29.0401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3021	avionics-maintenance-technologytechnician	47.0609	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3023	engineering-technologiestechnicians-general	15.0000	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3023	electrical-electronic-and-communications-engineering-technologytechnician	15.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3023	integrated-circuit-design-technologytechnician	15.0306	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3023	electricalelectronic-engineering-technologiestechnicians-other	15.0399	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3023	automation-engineer-technologytechnician	15.0406	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3023	semiconductor-manufacturing-technologytechnician	15.0616	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	engineering-technologiestechnicians-general	15.0000	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	applied-engineering-technologiestechnicians	15.0001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	electrical-electronic-and-communications-engineering-technologytechnician	15.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	electromechanicalelectromechanical-engineering-technologytechnician	15.0403	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	instrumentation-technologytechnician	15.0404	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	robotics-technologytechnician	15.0405	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	automation-engineer-technologytechnician	15.0406	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	mechatronics-robotics-and-automation-engineering-technologytechnician	15.0407	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	electromechanical-technologiestechnicians-other	15.0499	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3024	mechanicalmechanical-engineering-technologytechnician	15.0805	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3025	hazardous-materials-management-and-waste-technologytechnician	15.0508	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3025	hazardous-materials-information-systems-technologytechnician	15.0704	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	applied-engineering-technologiestechnicians	15.0001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	industrial-technologytechnician	15.0612	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	manufacturing-engineering-technologytechnician	15.0613	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	industrial-production-technologiestechnicians-other	15.0699	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	industrial-safety-technologytechnician	15.0703	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	process-safety-technologytechnician	15.0705	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	engineeringindustrial-management	15.1501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3026	packaging-science	15.1503	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3027	mechanicalmechanical-engineering-technologytechnician	15.0805	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3027	mechanical-engineering-related-technologiestechnicians-other	15.0899	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3027	hydraulics-and-fluid-power-technologytechnician	15.1103	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3028	electrical-electronic-and-communications-engineering-technologytechnician	15.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3028	biomedical-technologytechnician	15.0401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3028	instrumentation-technologytechnician	15.0404	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	applied-engineering-technologiestechnicians	15.0001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	architectural-engineering-technologiestechnicians	15.0101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	laser-and-optical-technologytechnician	15.0304	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	audio-engineering-technologytechnician	15.0307	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	biomedical-technologytechnician	15.0401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	heating-ventilation-air-conditioning-and-refrigeration-engineering-technologytechnician	15.0501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	environmental-control-technologiestechnicians-other	15.0599	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	plastics-and-polymer-engineering-technologytechnician	15.0607	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	metallurgical-technologytechnician	15.0611	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	welding-engineering-technologytechnician	15.0614	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	chemical-engineering-technologytechnician	15.0615	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	composite-materials-technologytechnician	15.0617	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	hydraulics-and-fluid-power-technologytechnician	15.1103	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	computercomputer-systems-technologytechnician	15.1202	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	nuclear-engineering-technologytechnician	15.1401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	packaging-science	15.1503	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	engineering-acoustics	29.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	operational-oceanography	29.0306	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	undersea-warfare	29.0307	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-3029	radar-communications-and-systems-technology	29.0409	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	biochemistry	26.0202	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	biophysics	26.0203	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	molecular-biochemistry	26.0205	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	molecular-biophysics	26.0206	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	structural-biology	26.0207	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	biochemistry-and-molecular-biology	26.0210	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	cellcellular-biology-and-anatomical-sciences-other	26.0499	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	biomechanics	26.0913	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1021	pharmaceutics-and-drug-design	51.2003	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-1032	forestry-other	03.0599	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	chemistry-general	40.0501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	analytical-chemistry	40.0502	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	inorganic-chemistry	40.0503	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	organic-chemistry	40.0504	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	physical-chemistry	40.0506	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	polymer-chemistry	40.0507	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	chemical-physics	40.0508	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	environmental-chemistry	40.0509	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	forensic-chemistry	40.0510	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	theoretical-chemistry	40.0511	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	cheminformaticschemistry-informatics	40.0512	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	chemistry-other	40.0599	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	materials-chemistry	40.1002	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2031	medicinal-and-pharmaceutical-chemistry	51.2004	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2032	textile-science	19.0904	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2032	materials-science	40.1001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2032	materials-chemistry	40.1002	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2032	materials-sciences-other	40.1099	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-2041	environmental-science	03.0104	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-4051	industrial-radiologic-technologytechnician	41.0204	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-4051	nuclearnuclear-power-technologytechnician	41.0205	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					19-4051	nuclear-and-industrial-radiologic-technologiestechnicians-other	41.0299	advanced-manufacturing
