ns	from	predicate	reverse	to
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/UserInteraction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Vessel
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AggregateRating
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Grant
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AdministrativeArea
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Reservation
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/SportsActivityLocation
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/HealthAndBeautyBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/PriceSpecification
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AllocateAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AddAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalClinic
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Review
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MoveAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AssessAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Store
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/UserInteraction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Organization
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/NewsArticle
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TransferAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/BioChemEntity
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ItemList
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TransferAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StatusEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWorkSeason
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Room
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/DigitalDocument
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
