roleId	occupationId
HumanResourcesManagers	Human_Resources_Managers
HumanResourcesSpecialists	Human_Resources_Specialists
HumanServiceAssistants	Social_and_Human_Service_Assistants
HuntingWorkers	Fishing_and_Hunting_Workers
HydroelectricPlantTechnicians	Hydroelectric_Plant_Technicians
HydroelectricProductionManagers	Hydroelectric_Production_Managers
HydrologicTechnicians	Geological_Technicians,_Except_Hydrologic_Technicians
HydrologicTechnicians	Hydrologic_Technicians
Hydrologists	Hydrologists
Illustrators	Fine_Artists,_Including_Painters,_Sculptors,_and_Illustrators
Immunologists	Allergists_and_Immunologists
IndustrialDesigners	Commercial_and_Industrial_Designers
IndustrialEcologists	Industrial_Ecologists
IndustrialEngineers	Industrial_Engineers
IndustrialMachineryMechanics	Industrial_Machinery_Mechanics
IndustrialOrganizationalPsychologists	Industrial-Organizational_Psychologists
IndustrialProductionManagers	Industrial_Production_Managers
Infantry	Infantry
InfantryOfficers	Infantry_Officers
InformationClerks	Receptionists_and_Information_Clerks
InformationResearchScientists	Computer_and_Information_Research_Scientists
InformationSecurityAnalysts	Information_Security_Analysts
InformationSecurityEngineers	Information_Security_Engineers
InformationSystemsManagers	Computer_and_Information_Systems_Managers
InformationTechnologyProjectManagers	Information_Technology_Project_Managers
Inspectors	Health_and_Safety_Engineers,_Except_Mining_Safety_Engineers_and_Inspectors
Installers	Heating,_Air_Conditioning,_and_Refrigeration_Mechanics_and_Installers
InstructionalCoordinators	Instructional_Coordinators
InstructorsAllOther	Teachers_and_Instructors,_All_Other
InsulationWorkersMechanical	Insulation_Workers,_Mechanical
InsuranceAppraisersAutoDamage	Insurance_Appraisers,_Auto_Damage
InsuranceSalesAgents	Insurance_Sales_Agents
InsuranceUnderwriters	Insurance_Underwriters
IntelligenceAnalysts	Intelligence_Analysts
Intercity	Bus_Drivers,_Transit_and_Intercity
InteriorDesigners	Interior_Designers
InventoryClerks	Shipping,_Receiving,_and_Inventory_Clerks
Investigators	Claims_Adjusters,_Examiners,_and_Investigators
Investigators	Fire_Inspectors_and_Investigators
Investigators	Government_Property_Inspectors_and_Investigators
Investigators	Private_Detectives_and_Investigators
InvestmentAnalysts	Financial_and_Investment_Analysts
InvestmentFundManagers	Investment_Fund_Managers
Jailers	Correctional_Officers_and_Jailers
JanitorialWorkers	First-Line_Supervisors_of_Housekeeping_and_Janitorial_Workers
Janitors	Janitors_and_Cleaners,_Except_Maids_and_Housekeeping_Cleaners
JobAnalysisSpecialists	Compensation,_Benefits,_and_Job_Analysis_Specialists
Journalists	News_Analysts,_Reporters,_and_Journalists
JudicialLawClerks	Judicial_Law_Clerks
LaboratoryAnimalCaretakers	Veterinary_Assistants_and_Laboratory_Animal_Caretakers
LaborRelationsSpecialists	Labor_Relations_Specialists
LandscapeArchitects	Landscape_Architects
LawEnforcementTeachersPostsecondary	Criminal_Justice_and_Law_Enforcement_Teachers,_Postsecondary
LawTeachersPostsecondary	Law_Teachers,_Postsecondary
Lawyers	Lawyers
LegalAssistants	Paralegals_and_Legal_Assistants
LegalSupportWorkersAllOther	Legal_Support_Workers,_All_Other
Legislators	Legislators
LibraryAssistantsClerical	Library_Assistants,_Clerical
LibraryScienceTeachersPostsecondary	Library_Science_Teachers,_Postsecondary
LibraryTechnicians	Library_Technicians
LibraryWorkersAllOther	Educational_Instruction_and_Library_Workers,_All_Other
LicenseClerks	Court,_Municipal,_and_License_Clerks
LicensedVocationalNurses	Licensed_Practical_and_Licensed_Vocational_Nurses
LifeScientistsAllOther	Life_Scientists,_All_Other
LightingTechnicians	Lighting_Technicians
LightTruckDrivers	Light_Truck_Drivers
LineInstallers	Telecommunications_Equipment_Installers_and_Repairers,_Except_Line_Installers
LiteratureTeachersPostsecondary	English_Language_and_Literature_Teachers,_Postsecondary
Loan	Interviewers,_Except_Eligibility_and_Loan
LoanOfficers	Loan_Officers
LockTenders	Bridge_and_Lock_Tenders
LocomotiveEngineers	Locomotive_Engineers
LocomotiveFirers	Railroad_Brake,_Signal,_and_Switch_Operators_and_Locomotive_Firers
LodgingManagers	Lodging_Managers
LoggingEquipmentOperators	Logging_Equipment_Operators
LoggingWorkersAllOther	Logging_Workers,_All_Other
Logisticians	Logisticians
LogisticsAnalysts	Logistics_Analysts
LogisticsEngineers	Logistics_Engineers
