ns	from	to	predicate	reverse	dataValue	date
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C3c	requiresKnowledge	requiredByOccupation	2.92	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C3d	requiresKnowledge	requiredByOccupation	0.64	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C3e	requiresKnowledge	requiredByOccupation	0.67	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4a	requiresKnowledge	requiredByOccupation	3.55	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4b	requiresKnowledge	requiredByOccupation	0.49	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4c	requiresKnowledge	requiredByOccupation	0.37	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4d	requiresKnowledge	requiredByOccupation	0.45	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4e	requiresKnowledge	requiredByOccupation	2.74	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4f	requiresKnowledge	requiredByOccupation	2.77	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C4g	requiresKnowledge	requiredByOccupation	2.07	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C5a	requiresKnowledge	requiredByOccupation	0.48	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C5b	requiresKnowledge	requiredByOccupation	1.42	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C6	requiresKnowledge	requiredByOccupation	3.85	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C7a	requiresKnowledge	requiredByOccupation	4.85	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C7b	requiresKnowledge	requiredByOccupation	1.04	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C7c	requiresKnowledge	requiredByOccupation	2.30	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C7d	requiresKnowledge	requiredByOccupation	1.13	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C7e	requiresKnowledge	requiredByOccupation	2.11	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C8a	requiresKnowledge	requiredByOccupation	2.19	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C8b	requiresKnowledge	requiredByOccupation	2.09	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C9a	requiresKnowledge	requiredByOccupation	1.91	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C9b	requiresKnowledge	requiredByOccupation	5.21	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C10	requiresKnowledge	requiredByOccupation	1.59	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C1a	requiresKnowledge	requiredByOccupation	4.61	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C1b	requiresKnowledge	requiredByOccupation	4.10	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C1c	requiresKnowledge	requiredByOccupation	3.55	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C1d	requiresKnowledge	requiredByOccupation	6.05	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C1e	requiresKnowledge	requiredByOccupation	4.85	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C1f	requiresKnowledge	requiredByOccupation	3.55	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C2a	requiresKnowledge	requiredByOccupation	2.92	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C2b	requiresKnowledge	requiredByOccupation	0.28	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C3a	requiresKnowledge	requiredByOccupation	4.05	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C3b	requiresKnowledge	requiredByOccupation	2.47	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C3c	requiresKnowledge	requiredByOccupation	3.55	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C3d	requiresKnowledge	requiredByOccupation	0.42	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C3e	requiresKnowledge	requiredByOccupation	0.54	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4a	requiresKnowledge	requiredByOccupation	4.40	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4b	requiresKnowledge	requiredByOccupation	0.37	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4c	requiresKnowledge	requiredByOccupation	0.43	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4d	requiresKnowledge	requiredByOccupation	0.20	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4e	requiresKnowledge	requiredByOccupation	2.86	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4f	requiresKnowledge	requiredByOccupation	2.44	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C4g	requiresKnowledge	requiredByOccupation	2.55	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C5a	requiresKnowledge	requiredByOccupation	0.44	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C5b	requiresKnowledge	requiredByOccupation	1.10	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C6	requiresKnowledge	requiredByOccupation	4.15	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C7a	requiresKnowledge	requiredByOccupation	5.04	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C7b	requiresKnowledge	requiredByOccupation	1.36	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C7c	requiresKnowledge	requiredByOccupation	1.32	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C7d	requiresKnowledge	requiredByOccupation	1.09	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C7e	requiresKnowledge	requiredByOccupation	1.12	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C8a	requiresKnowledge	requiredByOccupation	2.26	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C8b	requiresKnowledge	requiredByOccupation	2.93	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C9a	requiresKnowledge	requiredByOccupation	2.56	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C9b	requiresKnowledge	requiredByOccupation	4.21	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Knowledge/2C10	requiresKnowledge	requiredByOccupation	1.53	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Knowledge/2C1a	requiresKnowledge	requiredByOccupation	4.62	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Knowledge/2C1b	requiresKnowledge	requiredByOccupation	3.62	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Knowledge/2C1c	requiresKnowledge	requiredByOccupation	3.10	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Knowledge/2C1d	requiresKnowledge	requiredByOccupation	5.86	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Knowledge/2C1e	requiresKnowledge	requiredByOccupation	5.24	08/2025
